iter	Passed	Remaining
0	0	239
1	0	233
2	1	210
3	1	177
4	2	249
5	2	234
6	3	223
7	3	213
8	3	207
9	4	199
10	4	192
11	4	198
12	5	202
13	5	194
14	5	192
15	6	188
16	6	186
17	6	181
18	7	179
19	8	194
20	8	191
21	8	190
22	8	185
23	9	182
24	9	180
25	9	177
26	10	175
27	10	176
28	10	174
29	11	172
30	11	172
31	11	170
32	11	169
33	12	165
34	12	164
35	12	163
36	13	165
37	13	164
38	13	160
39	13	159
40	14	157
41	14	156
42	14	154
43	14	153
44	14	151
45	15	149
46	15	148
47	15	146
48	15	145
49	15	143
50	16	141
51	16	140
52	16	139
53	16	137
54	16	136
55	17	135
56	17	134
57	17	134
58	17	133
59	18	132
60	18	132
61	18	131
62	18	131
63	19	130
64	19	130
65	19	130
66	20	130
67	20	129
68	20	129
69	20	128
70	21	128
71	21	127
72	21	126
73	21	125
74	22	125
75	22	124
76	22	124
77	22	123
78	23	123
79	23	122
80	23	122
81	24	122
82	24	122
83	24	121
84	24	120
85	24	120
86	25	119
87	25	119
88	25	118
89	25	118
90	26	117
91	26	117
92	26	116
93	26	116
94	27	116
95	27	115
96	27	115
97	28	114
98	28	114
99	28	114
100	28	113
101	29	113
102	29	113
103	29	113
104	30	112
105	30	112
106	30	112
107	30	111
108	31	111
109	31	111
110	31	110
111	31	110
112	32	109
113	32	109
114	32	109
115	32	108
116	33	108
117	33	107
118	33	107
119	33	107
120	34	107
121	34	106
122	34	106
123	35	106
124	35	106
125	36	107
126	36	107
127	37	107
128	37	107
129	37	107
130	38	107
131	38	106
132	38	106
133	38	106
134	39	107
135	40	107
136	40	107
137	40	107
138	41	106
139	41	106
140	41	106
141	41	105
142	42	105
143	42	104
144	42	104
145	42	104
146	43	103
147	43	103
148	43	103
149	44	103
150	44	103
151	44	102
152	45	102
153	45	102
154	45	101
155	46	101
156	46	101
157	46	100
158	46	100
159	47	99
160	47	99
161	47	99
162	47	98
163	48	98
164	48	98
165	48	97
166	48	97
167	49	97
168	49	96
169	49	96
170	49	95
171	50	95
172	50	95
173	50	94
174	50	94
175	51	94
176	52	94
177	52	94
178	52	94
179	52	93
180	53	93
181	53	93
182	53	92
183	53	92
184	54	91
185	54	91
186	54	91
187	54	91
188	55	90
189	55	90
190	55	89
191	55	89
192	56	89
193	56	88
194	56	88
195	56	88
196	57	88
197	57	87
198	57	87
199	58	88
200	59	87
201	59	87
202	59	87
203	59	86
204	60	86
205	60	86
206	60	86
207	61	85
208	61	85
209	61	85
210	62	85
211	62	84
212	62	84
213	63	84
214	63	83
215	63	83
216	63	83
217	63	82
218	64	82
219	64	82
220	64	81
221	65	81
222	65	81
223	65	80
224	65	80
225	66	80
226	66	79
227	67	80
228	67	80
229	68	79
230	68	79
231	68	79
232	68	78
233	69	78
234	69	78
235	69	77
236	69	77
237	70	77
238	70	76
239	70	76
240	70	75
241	70	75
242	71	75
243	71	75
244	71	74
245	72	74
246	72	74
247	72	73
248	72	73
249	73	73
250	73	72
251	73	72
252	74	72
253	74	72
254	74	71
255	74	71
256	75	71
257	75	70
258	75	70
259	75	70
260	76	69
261	76	69
262	76	69
263	77	69
264	77	68
265	77	68
266	78	68
267	78	67
268	78	67
269	78	67
270	79	66
271	79	66
272	79	66
273	79	65
274	80	65
275	80	65
276	80	65
277	81	64
278	81	64
279	81	64
280	81	63
281	82	63
282	82	63
283	82	63
284	83	62
285	83	62
286	83	62
287	84	61
288	84	61
289	84	61
290	84	60
291	85	60
292	85	60
293	85	59
294	86	60
295	86	59
296	86	59
297	87	59
298	87	58
299	87	58
300	87	58
301	88	57
302	88	57
303	88	57
304	88	56
305	89	56
306	90	56
307	90	56
308	90	56
309	90	55
310	91	55
311	91	55
312	91	54
313	91	54
314	92	54
315	92	53
316	92	53
317	92	53
318	93	52
319	93	52
320	93	52
321	93	51
322	94	51
323	94	51
324	94	51
325	95	51
326	95	50
327	96	50
328	96	50
329	96	49
330	97	49
331	97	49
332	97	49
333	98	48
334	98	48
335	98	48
336	99	47
337	99	47
338	99	47
339	99	46
340	100	46
341	100	46
342	100	46
343	100	45
344	101	45
345	101	45
346	101	44
347	101	44
348	101	44
349	102	43
350	102	43
351	102	43
352	102	42
353	103	42
354	103	42
355	103	41
356	103	41
357	104	41
358	104	40
359	104	40
360	104	40
361	104	40
362	105	39
363	105	39
364	105	39
365	105	38
366	106	38
367	106	38
368	106	37
369	106	37
370	107	37
371	107	36
372	107	36
373	107	36
374	108	36
375	108	35
376	108	35
377	109	35
378	109	34
379	109	34
380	109	34
381	109	33
382	110	33
383	110	33
384	110	33
385	110	32
386	111	32
387	111	32
388	111	31
389	111	31
390	111	31
391	112	30
392	112	30
393	112	30
394	113	30
395	113	29
396	113	29
397	114	29
398	114	28
399	114	28
400	114	28
401	115	28
402	115	27
403	115	27
404	115	27
405	116	26
406	116	26
407	116	26
408	116	26
409	117	25
410	117	25
411	117	25
412	117	24
413	118	24
414	118	24
415	118	23
416	118	23
417	119	23
418	119	23
419	119	22
420	119	22
421	120	22
422	120	21
423	120	21
424	120	21
425	120	21
426	121	20
427	121	20
428	121	20
429	122	19
430	122	19
431	122	19
432	122	19
433	123	18
434	123	18
435	123	18
436	124	17
437	124	17
438	124	17
439	124	17
440	124	16
441	125	16
442	125	16
443	125	15
444	127	15
445	127	15
446	127	15
447	127	14
448	128	14
449	128	14
450	128	14
451	129	13
452	129	13
453	129	13
454	130	12
455	130	12
456	130	12
457	130	11
458	130	11
459	131	11
460	131	11
461	131	10
462	131	10
463	132	10
464	132	9
465	132	9
466	132	9
467	133	9
468	133	8
469	133	8
470	134	8
471	134	7
472	134	7
473	134	7
474	135	7
475	135	6
476	135	6
477	135	6
478	135	5
479	136	5
480	136	5
481	136	5
482	137	4
483	137	4
484	137	4
485	137	3
486	138	3
487	138	3
488	138	3
489	139	2
490	139	2
491	139	2
492	140	1
493	140	1
494	140	1
495	140	1
496	140	0
497	141	0
498	141	0
499	141	0
