node_path,node_type
Cells,group
Cells/Centres,dataset
Cells/Counts,group
Cells/Counts/PartType0,dataset
Cells/Files,group
Cells/Files/PartType0,dataset
Cells/Meta-data,group
Cells/OffsetsInFile,group
Cells/OffsetsInFile/PartType0,dataset
Code,group
Cosmology,group
GravityScheme,group
Header,group
Header/PartTypeNames,dataset
InternalCodeUnits,group
Parameters,group
PartType0,group
PartType0/Coordinates,dataset
PartType0/Densities,dataset
PartType0/Entropies,dataset
PartType0/FOFGroupIDs,dataset
PartType0/InternalEnergies,dataset
PartType0/Masses,dataset
PartType0/MaterialIDs,dataset
PartType0/ParticleIDs,dataset
PartType0/Potentials,dataset
PartType0/Pressures,dataset
PartType0/ProgenitorParticleIDs,dataset
PartType0/SmoothingLengths,dataset
PartType0/SplitCounts,dataset
PartType0/SplitTrees,dataset
PartType0/Velocities,dataset
PhysicalConstants,group
PhysicalConstants/CGS,group
PhysicalConstants/InternalUnits,group
Policy,group
SubgridScheme,group
SubgridScheme/NamedColumns,group
Units,group
UnusedParameters,group
