fof_file,group_id,fragment_particle_count,fragment_mass_kg,com_r_m,com_speed_m_s,specific_energy_J_kg,is_bound,abs_specific_energy
Ma_xp_A2100_n70_r16_v00_90000_fof_0.0074_0000.hdf5,420,280,2.7750051212569636e+16,273540121.1843303,559.4731628395879,5.3613592192705255,False,5.3613592192705255
Ma_xp_A2100_n70_r16_v00_90000_fof_0.0044_0000.hdf5,438,280,2.7750051212569636e+16,273540121.1843303,559.4731628395879,5.3613592192705255,False,5.3613592192705255
Ma_xp_A2100_n70_r16_v00_90000_fof_0.0059_0000.hdf5,436,280,2.7750051212569636e+16,273540121.1843303,559.4731628395879,5.3613592192705255,False,5.3613592192705255
Ma_xp_A2000_s047x_n65_r12_v00_90000_fof_0.0040_0000.hdf5,1545,31,980992380671608.0,236544842.9629577,601.6419697784829,10.442389903764706,False,10.442389903764706
Ma_xp_A1900_s047x_n65_r12_v00_90000_fof_0.002_0000.hdf5,1155,48,151945885061495.3,236982732.0333812,601.0868516338114,11.015887916611971,False,11.015887916611971
Ma_xp_A2000_s047y_n65_r16_v06_90000_fof_0.0040_0000.hdf5,870,41,1297441535726965.5,232432384.2940614,606.9440776610883,12.433977970853448,False,12.433977970853448
Ma_xp_A2000_s036x_n65_r16_v00_90000_fof_0.0040_0000.hdf5,175,84,2660600702570623.0,234307663.35037488,604.5154693640266,15.421400089398958,False,15.421400089398958
Ma_xp_A2000_s030z_n65_r22_v00_90000_fof_0.0040_0000.hdf5,129,749,2.3569255896112084e+16,236506659.8328656,601.6439436341195,-17.587977249437245,True,17.587977249437245
Ma_xp_A2000_n65_r16_v00_90000_fof_0.0020_0000.hdf5,561,89,2756358218577790.0,235039178.150366,603.5806945437811,19.404132126655895,False,19.404132126655895
Ma_xp_A1900_s030z_n65_r17_v00_90000_fof_0.002_0000.hdf5,109,2073,6570628759064237.0,238798962.410436,598.8128744885452,20.64789286843734,False,20.64789286843734
Ma_xp_A2000_n65_r16_v00_90000_fof_0.0020_0000.hdf5,4611,24,743287609504122.1,235004644.14243367,603.6309163047806,22.953419677709466,False,22.953419677709466
Ma_xp_A2000_s036y_n65_r16_v06_90000_fof_0.0040_0000.hdf5,945,126,3990901053855934.5,231790978.50474957,607.7196005407043,-26.219054963818053,True,26.219054963818053
Ma_xp_A2000_n65_r16_v00_90000_fof_0.0020_0000.hdf5,869,70,2167922194387022.8,235022297.75531656,603.6181460320556,28.928015110868728,False,28.928015110868728
Ma_xp_A2000_n65_r15_v00_90000_fof_0.0020_0000.hdf5,1123,54,1672397121384274.8,235024076.55727595,603.5146338690188,-32.16983925510431,True,32.16983925510431
Ma_xp_A2000_n65_r16_v00_90000_fof_0.0020_0000.hdf5,4982,23,712317292441450.4,234992450.0981005,603.6747481421901,39.96001475091907,False,39.96001475091907
