run_key,mass_log10_kg,periapsis_Rm,v_inf_kms,eccentricity_proxy,fragment_count_min_particles,dispersed_mass_fraction,bound_mass_fraction
Ma_xp_A2000_n65_r24_v00_90000_fof_0.0020_0000.hdf5,20.0,2.4,0.0,1.0,1235,0.9923957648188904,0.0
Ma_xp_A1900_s030x_n65_r12_v00_90000_fof_0.002_0000.hdf5,19.0,1.2,0.0,1.0,3162,0.9857232248385013,0.0149082691484831
Ma_xp_A2000_s030x_n65_r12_v00_90000_fof_0.0040_0000.hdf5,20.0,1.2,0.0,1.0,4145,0.9854952182618145,0.2109211400394131
Ma_xp_A2000_n65_r12_v00_90000_fof_0.0020_0000.hdf5,20.0,1.2,0.0,1.0,6136,0.9826658460266335,0.2355118998968633
Ma_xp_A2000_s030z_n65_r16_v00_66000_fof_0.0040_0000.hdf5,20.0,1.6,0.0,1.0,595,0.9768677363257526,
Ma_xp_A2000_s030z_n65_r16_v00_72000_fof_0.0040_0000.hdf5,20.0,1.6,0.0,1.0,575,0.9765500860334251,
Ma_xp_A2000_s030z_n65_r16_v00_78000_fof_0.0040_0000.hdf5,20.0,1.6,0.0,1.0,487,0.9763229337873744,
Ma_xp_A2000_s030z_n65_r11_v00_90000_fof_0.0040_0000.hdf5,20.0,1.1,0.0,1.0,424,0.9754058167404487,0.2739524985005524
Ma_xp_A1900_s030z_n65_r13_v00_90000_fof_0.002_0000.hdf5,19.0,1.3,0.0,1.0,394,0.9736866223846626,0.0699262339514778
Ma_xp_A2000_s030z_n65_r17_v00_90000_fof_0.0040_0000.hdf5,20.0,1.7,0.0,1.0,382,0.9731079694565344,0.2524814346520673
Ma_xp_A2000_s030z_n65_r13_v00_90000_fof_0.0040_0000.hdf5,20.0,1.3,0.0,1.0,400,0.9716134393243312,0.2675599442971066
Ma_xp_A1900_s030z_n65_r14_v00_89000_fof_0.002_0000.hdf5,19.0,1.4,0.0,1.0,399,0.9713481809551977,
Ma_xp_A2000_n65_r13_v00_90000_fof_0.0020_0000.hdf5,20.0,1.3,0.0,1.0,6178,0.9710055251898481,0.2341007727851379
Ma_xp_A2000_s047z_n65_r14_v00_90000_fof_0.0040_0000.hdf5,20.0,1.4,0.0,1.0,345,0.9708736733050644,0.2476980415431734
Ma_xp_A2000_s036z_n65_r12_v00_90000_fof_0.0040_0000.hdf5,20.0,1.2,0.0,1.0,451,0.9705569786176605,0.2612560536022877
Ma_xp_A2000_s030z_n65_r14_v00_90000_fof_0.0040_0000.hdf5,20.0,1.4,0.0,1.0,391,0.9701324366171673,0.2412991929719162
Ma_xp_A2000_s047z_n65_r16_v00_72000_fof_0.0040_0000.hdf5,20.0,1.6,0.0,1.0,541,0.9699114364588821,
Ma_xp_A2000_s047z_n65_r16_v00_78000_fof_0.0040_0000.hdf5,20.0,1.6,0.0,1.0,481,0.9696896618620783,
Ma_xp_A2000_s047z_n65_r16_v00_84000_fof_0.0040_0000.hdf5,20.0,1.6,0.0,1.0,410,0.9695096781724856,
Ma_xp_A2000_s047z_n65_r16_v00_90000_fof_0.0040_0000.hdf5,20.0,1.6,0.0,1.0,356,0.9692414338416848,0.2363730002143739
