periapsis_code,v00,v02,v04,v06,v08,v10,v12,v14,v15,v16,v20,v25,v30
r11,14,0,0,0,0,0,0,0,0,0,0,0,0
r12,97,7,7,7,7,7,3,3,3,3,3,1,1
r13,14,0,0,0,0,0,0,0,0,0,0,0,0
r14,18,2,2,2,1,1,0,0,0,0,0,0,0
r15,14,0,0,0,0,0,0,0,0,0,0,0,0
r16,86,7,6,23,4,4,0,0,0,0,0,0,0
r17,14,0,0,0,0,0,0,0,0,0,0,0,0
r18,15,2,2,2,1,1,0,0,0,0,0,0,0
r19,14,0,0,0,0,0,0,0,0,0,0,0,0
r20,31,6,6,6,2,2,0,0,0,0,0,0,0
r22,15,0,0,0,0,0,0,0,0,0,0,0,0
r24,14,0,0,0,0,0,0,0,0,0,0,0,0
r26,5,0,0,0,0,0,0,0,0,0,0,0,0
r28,2,0,0,0,0,0,0,0,0,0,0,0,0
r30,2,0,0,0,0,0,0,0,0,0,0,0,0
