metric,is_bound,count,min,p25,median,mean,p75,max,std
fragment_particle_count,False,150185,20.0,31.0,74.0,7416.341738522489,418.0,3922894.0,77719.30501418693
fragment_particle_count,True,39479,20.0,32.0,80.0,2871.4801033460826,393.0,355736.0,14003.400419663913
fragment_mass_kg,False,150185,19798725887199.188,805228243629465.6,1932102891152476.5,2.0402353049081248e+17,8968274940443218.0,3.887875335722955e+20,2.9523983755536666e+18
fragment_mass_kg,True,39479,19798725887199.188,1022020463068168.0,2818298852703134.0,1.146607708777844e+17,1.4286304641969162e+16,3.5256043636359e+19,8.692709519599036e+17
com_r_m,False,150185,173415788.5601775,215733477.5032505,221522682.6045151,224347890.84803087,228734052.84468293,295917387.5170843,16899214.140738912
com_r_m,True,39479,223115778.73548284,239755724.46107852,244901139.50174916,247635949.7171018,252789663.45452636,278826927.5966419,10673041.98672514
com_speed_m_s,False,150185,554.7938322856132,782.2970202132029,920.2432851189404,947.1319486537678,1065.6688840709487,6442.816600274234,259.3540072283804
com_speed_m_s,True,39479,221.70736834577863,352.44908767955064,454.78175969802993,442.1376339909223,530.840027549665,607.7838932480987,102.89378583830495
specific_energy_J_kg,False,150185,5.3613592192705255,119673.8612848949,231303.7777701249,290367.5411632555,370231.273055509,20609695.785133008,428455.0984492639
specific_energy_J_kg,True,39479,-141831.45771855707,-108210.84790123905,-71345.41342578226,-70142.04722450479,-33438.74102378523,-17.587977249437245,41085.77198296285
fof_linking_length,False,150185,0.001,0.002,0.0034,0.00325050238039751,0.004,0.0126,0.0014548696202816883
fof_linking_length,True,39479,0.001,0.002,0.004,0.0037712480052686246,0.004,0.0126,0.0013993004629353964
