rank,mean_cumulative_mass_fraction,median_cumulative_mass_fraction,min_cumulative_mass_fraction,max_cumulative_mass_fraction
1.0,0.28269790864711636,0.09719916069064442,0.007604235181109683,1.0
2.0,0.31818819572574414,0.1525367920575439,0.014708425635407958,1.0
3.0,0.34691561709927093,0.2083566098560528,0.02051937181770172,1.0
4.0,0.388613075874246,0.25608173032695986,0.025778541890136522,1.0
5.0,0.42556729148312894,0.3091625742466691,0.03031349411285555,1.0
6.0,0.4498404018503399,0.3538833422084041,0.03479672019313337,1.0
7.0,0.48085695672910916,0.39741598354578683,0.039176482070157566,0.99999379973178
8.0,0.5102558158806179,0.4381443192541625,0.04343554544886208,1.0
9.0,0.5353555373087987,0.4744061559447362,0.0476946066988721,0.999993674051324
10.0,0.5603124486741123,0.5051131704592691,0.05186745271361964,1.0
11.0,0.5826783156420174,0.5331861322035052,0.0559023541595534,0.9999094412896278
12.0,0.6043398402553953,0.5662714839259069,0.059868282399676225,0.9999233734077072
13.0,0.6244483170097391,0.5971820211767056,0.06381696847126765,0.9999376722342973
14.0,0.6432000486520426,0.6198638821990343,0.06776565365042998,0.9999745920302278
15.0,0.6606059644791706,0.6486939398926171,0.07167985501021569,0.9999925635235298
16.0,0.6768713314751494,0.6757928180722323,0.07550783985211354,1.0
17.0,0.691498123611128,0.6967834471233743,0.07918063283389144,1.0
18.0,0.7051778773326499,0.7166482014731597,0.08266375200216085,1.0
19.0,0.7180822270039278,0.7387262218398407,0.08612962812878645,0.999993039548724
20.0,0.730947623406295,0.7600049570320085,0.08957826124853817,1.0
