mass_code,resolution_code,periapsis_code,velocity_code,timestep,fof_linking_length,fragment_count_min_particles,largest_fragment_particle_count,largest_fragment_mass_kg,fragment_mass_fraction
A1800,n60,r12,v00,90000,0.0001,0.0,0.0,0.0,
A1800,n60,r12,v00,90000,0.0013,265.0,69353.0,6.9126724252498056e+16,1.0
A1800,n60,r12,v00,90000,0.0014,265.0,69353.0,6.9126724252498056e+16,1.0
A1800,n60,r12,v00,90000,0.0016,264.0,69353.0,6.9126724252498056e+16,1.0
A1800,n60,r12,v00,90000,0.002,265.0,69353.0,6.9126724252498056e+16,1.0
A1800,n60,r16,v00,90000,0.0001,0.0,0.0,0.0,
A1800,n60,r16,v00,90000,0.0013,88.0,278913.0,2.780033845824071e+17,1.0
A1800,n60,r16,v00,90000,0.0014,88.0,278913.0,2.780033845824071e+17,1.0
A1800,n60,r16,v00,90000,0.0016,88.0,278913.0,2.780033845824071e+17,1.0
A1800,n60,r16,v00,90000,0.002,88.0,278913.0,2.780033845824071e+17,1.0
A1850,n60,r12,v00,90000,0.0014,132.0,55215.0,1.7405377670784746e+17,1.0
A1850,n60,r12,v00,90000,0.0019,135.0,55222.0,1.7407584262963686e+17,1.0
A1850,n60,r12,v00,90000,0.002,135.0,55222.0,1.7407584262963686e+17,1.0
A1850,n60,r12,v00,90000,0.0024,135.0,55225.0,1.74085299561836e+17,1.0
A1850,n60,r16,v00,90000,0.0014,61.0,210426.0,6.63321932741246e+17,1.0
A1850,n60,r16,v00,90000,0.0019,61.0,210429.0,6.633313896170666e+17,1.0
A1850,n60,r16,v00,90000,0.002,61.0,210429.0,6.633313896170666e+17,1.0
A1850,n60,r16,v00,90000,0.0024,61.0,210429.0,6.633313896170666e+17,1.0
A1900,n50,r12,v00,54000,0.006,92.0,6829.0,6.28633889061813e+17,1.0
A1900,n50,r12,v00,56000,0.006,87.0,6909.0,6.360011882769449e+17,1.0
A1900,n50,r12,v00,58000,0.006,84.0,7064.0,6.502694938348407e+17,1.0
A1900,n50,r12,v00,60000,0.006,80.0,8493.0,7.818145918853169e+17,1.0
A1900,n50,r12,v00,62000,0.006,76.0,8491.0,7.816304689739533e+17,1.0
A1900,n50,r12,v00,64000,0.006,71.0,8495.0,7.819987021054381e+17,1.0
A1900,n50,r12,v00,66000,0.006,67.0,8497.0,7.821827988432955e+17,1.0
A1900,n50,r12,v00,68000,0.006,64.0,8703.0,8.011457168291612e+17,1.0
A1900,n50,r12,v00,70000,0.006,64.0,8703.0,8.011457168291593e+17,1.0
A1900,n50,r12,v00,72000,0.006,61.0,8703.0,8.011457168291612e+17,1.0
A1900,n50,r12,v00,90000,0.006,47.0,10370.0,9.545948509298706e+17,1.0
A1900,n50,r16,v00,72000,0.006,18.0,38061.0,3.503641645141961e+18,1.0
A1900,n50,r16,v00,90000,0.006,17.0,45734.0,4.209965963231357e+18,1.0
A1900,n55,r12,v00,72000,0.004,97.0,19062.0,5.967149749250502e+17,1.0
A1900,n55,r12,v00,90000,0.004,72.0,28826.0,9.023763927266004e+17,1.0
A1900,n55,r16,v00,72000,0.004,58.0,89819.0,2.811689506800592e+18,1.0
A1900,n55,r16,v00,90000,0.004,36.0,90645.0,2.837546514758993e+18,1.0
A1900,n60,r12,v00,72000,0.003,168.0,63886.0,6.36937087117975e+17,1.0
A1900,n60,r12,v00,90000,0.003,123.0,64224.0,6.403069017605837e+17,1.0
A1900,n60,r16,v00,72000,0.003,125.0,263006.0,2.622126938692686e+18,1.0
A1900,n60,r16,v00,90000,0.003,63.0,264980.0,2.6418074321516247e+18,1.0
A1900,n65,r11,v00,89000,0.002,372.0,176552.5,5.512620136467036e+17,1.0
A1900,n65,r11,v00,90000,0.002,373.0,118910.0,3.764141063954451e+17,1.0
A1900,n65,r12,v00,89000,0.002,1.0,3162277.3333333335,9.988237920606837e+18,1.0
A1900,n65,r12,v00,89100,0.002,707.0,282647.0,8.940283838382877e+17,1.0
A1900,n65,r12,v00,90000,0.0019,219.0,230085.0,7.12715585391183e+17,1.0
A1900,n65,r12,v00,90000,0.002,892.1875,237131.9375,7.483194945701591e+17,1.0
A1900,n65,r12,v02,89000,0.002,385.0,100531.5,3.1841420491653894e+17,1.0
A1900,n65,r12,v02,90000,0.002,268.0,202858.0,6.2837651003148e+17,1.0
A1900,n65,r12,v04,90000,0.002,341.3333333333333,148690.33333333334,4.655402310006328e+17,1.0
A1900,n65,r12,v06,89000,0.002,256.0,263211.0,8.153269647811967e+17,1.0
A1900,n65,r12,v06,90000,0.002,371.5,124321.0,3.937437804075508e+17,1.0
A1900,n65,r12,v08,90000,0.002,301.6666666666667,158882.33333333334,4.9743163038744186e+17,1.0
A1900,n65,r12,v10,89000,0.002,285.0,141603.0,4.4855974344514214e+17,1.0
A1900,n65,r12,v10,90000,0.002,284.0,309332.0,9.58191919157856e+17,1.0
A1900,n65,r12,v15,89000,0.002,206.0,398553.0,1.2407098400339822e+18,1.0
A1900,n65,r12,v15,90000,0.002,207.0,169000.0,5.349726380151776e+17,1.0
A1900,n65,r12,v20,89000,0.002,100.0,1517782.0,4.701506889502671e+18,1.0
A1900,n65,r12,v20,90000,0.002,165.0,190778.0,6.042347639792119e+17,1.0
A1900,n65,r12,v25,75000,0.002,244.0,1964741.0,6.086013743236382e+18,1.0
A1900,n65,r12,v30,65000,0.002,82.0,2195315.0,6.800243628473971e+18,1.0
