parameter,value,count
mass_code,A1800,10
mass_code,A1850,8
mass_code,A1900,134
mass_code,A1950,10
mass_code,A2000,299
mass_code,A2000c30,16
mass_code,A2050,6
mass_code,A2100,6
resolution_code,n50,16
resolution_code,n55,7
resolution_code,n60,25
resolution_code,n65,427
resolution_code,n70,14
periapsis_code,r11,14
periapsis_code,r12,149
periapsis_code,r13,14
periapsis_code,r14,26
periapsis_code,r15,14
periapsis_code,r16,130
periapsis_code,r17,14
periapsis_code,r18,23
periapsis_code,r19,14
periapsis_code,r20,53
periapsis_code,r22,15
periapsis_code,r24,14
periapsis_code,r26,5
periapsis_code,r28,2
periapsis_code,r30,2
velocity_code,v00,355
velocity_code,v02,24
velocity_code,v04,23
velocity_code,v06,40
velocity_code,v08,15
velocity_code,v10,15
velocity_code,v12,3
velocity_code,v14,3
velocity_code,v15,3
velocity_code,v16,3
velocity_code,v20,3
velocity_code,v25,1
velocity_code,v30,1
spin_code,(missing),272
spin_code,s030mz,2
spin_code,s030x,5
spin_code,s030y,4
spin_code,s030z,65
spin_code,s035mz,1
spin_code,s035x,1
spin_code,s035y,1
spin_code,s035z,3
spin_code,s036mz,1
spin_code,s036x,4
spin_code,s036y,4
spin_code,s036z,4
spin_code,s047mz,4
spin_code,s047x,5
spin_code,s047y,5
spin_code,s047z,66
spin_code,s086mz,4
spin_code,s086x,5
spin_code,s086y,5
spin_code,s086z,7
spin_code,s170mz,4
spin_code,s170x,5
spin_code,s170y,5
spin_code,s170z,7
spin_axis,(missing),272
spin_axis,mz,16
spin_axis,x,25
spin_axis,y,24
spin_axis,z,152
has_explicit_spin,False,272
has_explicit_spin,True,217
timestep,54000,1
timestep,56000,1
timestep,58000,1
timestep,60000,1
timestep,62000,1
timestep,64000,1
timestep,65000,1
timestep,66000,5
timestep,68000,1
timestep,70000,1
timestep,72000,10
timestep,75000,1
timestep,78000,4
timestep,84000,4
timestep,89000,35
timestep,89100,1
timestep,90000,408
timestep,96000,4
timestep,102000,4
timestep,108000,4
fof_linking_length,0.0001,2
fof_linking_length,0.001,14
fof_linking_length,0.0013,2
fof_linking_length,0.0014,4
fof_linking_length,0.0016,2
fof_linking_length,0.0019,4
fof_linking_length,0.002,129
fof_linking_length,0.0024,2
fof_linking_length,0.0027,2
fof_linking_length,0.003,20
fof_linking_length,0.0034,2
fof_linking_length,0.0035,12
fof_linking_length,0.004,216
fof_linking_length,0.0044,2
fof_linking_length,0.0045,12
fof_linking_length,0.005,14
fof_linking_length,0.0059,5
fof_linking_length,0.006,25
fof_linking_length,0.0074,2
fof_linking_length,0.008,12
fof_linking_length,0.0086,3
fof_linking_length,0.0126,3
