fof_file,mass_code,resolution_code,periapsis_code,velocity_code,fof_linking_length,n_fragments,bound_fragment_count,bound_mass_fraction,largest_bound_fragment_mass_kg,largest_unbound_fragment_mass_kg
Ma_xp_A2000_s030z_n65_r12_v00_90000_fof_0.0040_0000.hdf5,A2000,n65,r12,v00,0.004,370,128,0.2756593115388199,2.0706330794076687e+18,3.1563292969279375e+18
Ma_xp_A2000_s030z_n65_r11_v00_90000_fof_0.0040_0000.hdf5,A2000,n65,r11,v00,0.004,424,179,0.2739524985005524,2.221425968932632e+18,2.442611949831137e+18
Ma_xp_A2050_n70_r12_v00_90000_fof_0.0050_0000.hdf5,A2050,n70,r12,v00,0.005,882,387,0.2711588954205524,8.630268725640605e+18,1.696152718614721e+19
Ma_xp_A2050_n70_r12_v00_90000_fof_0.0040_0000.hdf5,A2050,n70,r12,v00,0.004,912,385,0.2711399388823852,8.629986847314e+18,1.6961401906890945e+19
Ma_xp_A2050_n70_r12_v00_90000_fof_0.0030_0000.hdf5,A2050,n70,r12,v00,0.003,930,385,0.2711038993259811,8.629297811404521e+18,1.6960023835072033e+19
Ma_xp_A2000_s047z_n65_r11_v00_90000_fof_0.0040_0000.hdf5,A2000,n65,r11,v00,0.004,369,148,0.2678059007077435,1.9471116510524175e+18,3.4785989818616305e+18
Ma_xp_A2000_s030z_n65_r13_v00_90000_fof_0.0040_0000.hdf5,A2000,n65,r13,v00,0.004,400,134,0.2675599442971066,1.9958030520098468e+18,2.8210731523148554e+18
Ma_xp_A2000_s036z_n65_r12_v00_90000_fof_0.0040_0000.hdf5,A2000,n65,r12,v00,0.004,451,218,0.2612560536022877,1.5954102070056666e+18,2.928149442268271e+18
Ma_xp_A2100_n70_r12_v00_90000_fof_0.0044_0000.hdf5,A2100,n70,r12,v00,0.0044,2976,887,0.2587907669165112,3.5149007724538753e+19,7.837843393120377e+19
Ma_xp_A2100_n70_r12_v00_90000_fof_0.0059_0000.hdf5,A2100,n70,r12,v00,0.0059,2929,879,0.2586905448408398,3.5254755241124127e+19,7.838140715097643e+19
Ma_xp_A2100_n70_r12_v00_90000_fof_0.0074_0000.hdf5,A2100,n70,r12,v00,0.0074,2893,866,0.2586512601504843,3.5256043636359e+19,7.838180358027946e+19
Ma_xp_A2000_s047z_n65_r13_v00_90000_fof_0.0040_0000.hdf5,A2000,n65,r13,v00,0.004,371,141,0.2578427366195575,2.2580545908085563e+18,3.461289213080032e+18
Ma_xp_A2000_s047z_n65_r12_v00_90000_fof_0.0040_0000.hdf5,A2000,n65,r12,v00,0.004,348,136,0.2577503972047866,2.0026484777644088e+18,3.7851432783649976e+18
Ma_xp_A2000_s030z_n65_r15_v00_90000_fof_0.0040_0000.hdf5,A2000,n65,r15,v00,0.004,369,131,0.2558061724432767,1.860114625542476e+18,3.155825814826022e+18
Ma_xp_A2000_s036z_n65_r16_v00_90000_fof_0.0040_0000.hdf5,A2000,n65,r16,v00,0.004,346,125,0.2540311795408124,2.1106482025855985e+18,3.6420139498222454e+18
