fof_file,mass_code,resolution_code,periapsis_code,velocity_code,fof_linking_length,n_fragments,bound_fragment_count,bound_mass_fraction,largest_bound_fragment_mass_kg,largest_unbound_fragment_mass_kg
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,A1800,n60,r12,v00,0.0001,0,0,0.0,0.0,0.0
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,A1800,n60,r12,v00,0.0013,265,0,0.0,0.0,6.9126856513801624e+16
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,A1800,n60,r12,v00,0.0014,265,0,0.0,0.0,6.9126856513801624e+16
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,A1800,n60,r12,v00,0.0016,264,0,0.0,0.0,6.9126856513801624e+16
Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,A1800,n60,r12,v00,0.002,265,0,0.0,0.0,6.9126856513801624e+16
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,A1800,n60,r16,v00,0.0001,0,0,0.0,0.0,0.0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,A1800,n60,r16,v00,0.0013,88,0,0.0,0.0,2.7800353165490752e+17
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,A1800,n60,r16,v00,0.0014,88,0,0.0,0.0,2.7800353165490752e+17
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,A1800,n60,r16,v00,0.0016,88,0,0.0,0.0,2.7800353165490752e+17
Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,A1800,n60,r16,v00,0.002,88,0,0.0,0.0,2.7800353165490752e+17
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0014_0000.hdf5,A1850,n60,r12,v00,0.0014,132,0,0.0,0.0,1.7405336223306835e+17
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0019_0000.hdf5,A1850,n60,r12,v00,0.0019,135,0,0.0,0.0,1.740754282212171e+17
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0024_0000.hdf5,A1850,n60,r12,v00,0.0024,135,0,0.0,0.0,1.7408488507328083e+17
Ma_xp_A1850_n60_r12_v00_90000_fof_0.002_0000.hdf5,A1850,n60,r12,v00,0.002,135,0,0.0,0.0,1.740754282212171e+17
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0014_0000.hdf5,A1850,n60,r16,v00,0.0014,61,0,0.0,0.0,6.633225174549916e+17
