periapsis,periapsis_code,v_inf_kms,velocity_code,spin_orientation,bound_mass_fraction_mean,bound_mass_fraction_median,bound_mass_fraction_min,bound_mass_fraction_max,row_count,zero_bmf_count,mass_codes,resolution_codes,timesteps,fof_linking_lengths
1.1,r11,0,v00,no_spin,0.181569628728,0.199515424226,0,0.237520907071,9,1,A2000,n65,90000,0.0010;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
1.1,r11,0,v00,prograde_z,0.200491193978,0.267805900708,0.0597151827245,0.273952498501,3,0,A1900;A2000,n65,90000,0.002;0.0040
1.2,r12,0,v00,equatorial,0.123521996505,0.186538209421,0,0.248721892948,18,2,A1900;A2000,n65,90000,0.002;0.0040
1.2,r12,0,v00,no_spin,0.11361553662,0.0913303236795,0,0.271158895421,39,14,A1800;A1850;A1900;A1950;A2000;A2000c30;A2050;A2100,n50;n55;n60;n65;n70,90000,0.0001;0.001;0.0010;0.0013;0.0014;0.0016;0.0019;0.002;0.0020;0.0024;0.0027;0.003;0.0030;0.0034;0.0035;0.004;0.0040;0.0044;0.0045;0.0050;0.0059;0.006;0.0060;0.0074;0.0080;0.0086;0.0126
1.2,r12,0,v00,prograde_z,0.153841227309,0.153864292275,0.0203748591372,0.275659311539,10,0,A1900;A2000,n65,90000,0.002;0.0040
1.2,r12,0,v00,retrograde_z,0.0284288484217,0,0,0.146497778965,7,5,A1900;A2000,n65,90000,0.002;0.0040
1.2,r12,0.2,v02,no_spin,0.110309298404,0.157176924789,3.9458526362e-05,0.173711511898,3,0,A1900;A2000;A2000c30,n65,90000,0.002;0.0040
1.2,r12,0.2,v02,prograde_z,0.250224908621,0.250224908621,0.249149123254,0.251300693988,2,0,A2000,n65,90000,0.0040
1.2,r12,0.4,v04,no_spin,0.0972379127464,0.14395401509,0,0.147759723149,3,1,A1900;A2000;A2000c30,n65,90000,0.002;0.0040
1.2,r12,0.4,v04,prograde_z,0.115920819221,0.117413547095,0.00949499304193,0.219361189652,4,0,A1900;A2000,n65,90000,0.002;0.0040
1.2,r12,0.6,v06,no_spin,0.0982272546658,0.0982272546658,0.0739660373859,0.122488471946,2,0,A2000;A2000c30,n65,90000,0.0040
1.2,r12,0.6,v06,prograde_z,0.0785200425374,0.0771329875276,0,0.159814195095,4,2,A1900;A2000,n65,90000,0.002;0.0040
1.2,r12,0.8,v08,no_spin,0.0107790256303,0.00891844408156,0,0.0234186328095,3,1,A1900;A2000;A2000c30,n65,90000,0.002;0.0040
1.2,r12,0.8,v08,prograde_z,0.04005249125,0.0363822922674,0,0.0874453804653,4,2,A1900;A2000,n65,90000,0.002;0.0040
1.2,r12,1,v10,no_spin,0,0,0,0,3,3,A1900;A2000;A2000c30,n65,90000,0.002;0.0040
1.2,r12,1,v10,prograde_z,0.0178162431086,0.0178162431086,0.0126863000681,0.0229461861492,2,0,A2000,n65,90000,0.0040
1.2,r12,1.2,v12,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
1.2,r12,1.2,v12,prograde_z,0,0,0,0,2,2,A2000,n65,90000,0.0040
1.2,r12,1.4,v14,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
1.2,r12,1.4,v14,prograde_z,0,0,0,0,2,2,A2000,n65,90000,0.0040
1.2,r12,1.5,v15,prograde_z,0,0,0,0,1,1,A1900,n65,90000,0.002
1.2,r12,1.6,v16,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
1.2,r12,1.6,v16,prograde_z,0,0,0,0,2,2,A2000,n65,90000,0.0040
1.2,r12,2,v20,prograde_z,0,0,0,0,2,2,A1900,n65,90000,0.002
1.3,r13,0,v00,no_spin,0.165551705728,0.203059675137,0,0.234100772785,10,2,A1900;A2000,n65,90000,0.0010;0.002;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
1.3,r13,0,v00,prograde_z,0.198442971623,0.25784273662,0.0699262339515,0.267559944297,3,0,A1900;A2000,n65,90000,0.002;0.0040
1.4,r14,0,v00,no_spin,0.158221375884,0.183632138372,0,0.223477859779,14,2,A1900;A2000;A2000c30,n50;n55;n60;n65,90000,0.0010;0.002;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0059;0.0060;0.0080;0.0086;0.0126
1.4,r14,0,v00,prograde_z,0.180081845341,0.241299192972,0.0512483015072,0.247698041543,3,0,A1900;A2000,n65,90000,0.002;0.0040
1.4,r14,0.2,v02,no_spin,0.0794816715414,0.0794816715414,0,0.158963343083,2,1,A1900;A2000,n65,90000,0.002;0.0040
1.4,r14,0.4,v04,no_spin,0.112017805764,0.112017805764,0.112017805764,0.112017805764,1,0,A2000,n65,90000,0.0040
1.4,r14,0.6,v06,no_spin,0.0271437453196,0.0271437453196,0,0.0542874906392,2,1,A1900;A2000,n65,90000,0.002;0.0040
1.4,r14,0.8,v08,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
1.4,r14,1,v10,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
1.5,r15,0,v00,no_spin,0.133631502335,0.160367099424,0,0.213733348622,10,2,A1900;A2000,n65,90000,0.0010;0.002;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
1.5,r15,0,v00,prograde_z,0.153191744169,0.155248340641,0.046464122948,0.255806172443,4,0,A1900;A2000,n65,90000,0.002;0.0040
1.6,r16,0,v00,equatorial,0.140266989709,0.130421990815,0.0625052962154,0.212265051714,10,0,A2000,n65,90000,0.0040
1.6,r16,0,v00,no_spin,0.0800892054676,0.000204120820913,0,0.21782258892,38,15,A1800;A1850;A1900;A1950;A2000;A2000c30;A2050;A2100,n50;n55;n60;n65;n70,90000,0.0001;0.0010;0.0013;0.0014;0.0016;0.0019;0.002;0.0020;0.0024;0.0027;0.003;0.0030;0.0034;0.0035;0.004;0.0040;0.0044;0.0045;0.0050;0.0059;0.006;0.0060;0.0074;0.0080;0.0086;0.0126
1.6,r16,0,v00,prograde_z,0.125390104009,0.115582456735,0,0.254031179541,10,2,A1900;A2000,n65,90000,0.002;0.0040
1.6,r16,0,v00,retrograde_z,0.0224848304506,0,0,0.0674544913519,3,2,A2000,n65,90000,0.0040
1.6,r16,0.2,v02,no_spin,0.097428200306,0.132059120009,0,0.160225480909,3,1,A1900;A2000;A2000c30,n65,90000,0.002;0.0040
1.6,r16,0.2,v02,prograde_z,0.164754550576,0.224557672443,0.0397578417398,0.229948137546,3,0,A1900;A2000,n65,90000,0.002;0.0040
1.6,r16,0.4,v04,no_spin,0.073433728979,0.0718027538141,0,0.148498433123,3,1,A1900;A2000;A2000c30,n65,90000,0.002;0.0040
1.6,r16,0.4,v04,prograde_z,0.0643555367887,0.00844387811704,0,0.184622732249,3,1,A1900;A2000,n65,90000,0.002;0.0040
1.6,r16,0.6,v06,equatorial,0.0218256635548,2.28178454565e-05,0,0.0814878914931,10,5,A2000,n65,90000,0.0040
1.6,r16,0.6,v06,no_spin,0.0176731530111,0.0176731530111,0,0.0353463060223,2,1,A2000;A2000c30,n65,90000,0.0040
1.6,r16,0.6,v06,prograde_z,0.0887231699709,0.100947116293,0,0.144387257252,6,1,A1900;A2000,n65,90000,0.002;0.0040
1.6,r16,0.6,v06,retrograde_z,0,0,0,0,3,3,A2000,n65,90000,0.0040
1.6,r16,0.8,v08,no_spin,0,0,0,0,1,1,A2000,n65,90000,0.0040
1.6,r16,0.8,v08,prograde_z,0.0606207373558,0.0606207373558,0.0469454342914,0.0742960404202,2,0,A2000,n65,90000,0.0040
