periapsis,v_inf_kms,spin_orientation,bound_mass_fraction_median,row_count,periapsis_code,velocity_code,mass_codes,resolution_codes,timesteps,fof_linking_lengths
1.2,0.0,equatorial,0.186538209421,18,r12,v00,A1900;A2000,n65,90000,0.002;0.0040
1.6,0.0,equatorial,0.130421990815,10,r16,v00,A2000,n65,90000,0.0040
1.1,0.0,no_spin,0.199515424226,9,r11,v00,A2000,n65,90000,0.0010;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
1.2,0.0,no_spin,0.0913303236795,39,r12,v00,A1800;A1850;A1900;A1950;A2000;A2000c30;A2050;A2100,n50;n55;n60;n65;n70,90000,0.0001;0.001;0.0010;0.0013;0.0014;0.0016;0.0019;0.002;0.0020;0.0024;0.0027;0.003;0.0030;0.0034;0.0035;0.004;0.0040;0.0044;0.0045;0.0050;0.0059;0.006;0.0060;0.0074;0.0080;0.0086;0.0126
1.3,0.0,no_spin,0.203059675137,10,r13,v00,A1900;A2000,n65,90000,0.0010;0.002;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
1.4,0.0,no_spin,0.183632138372,14,r14,v00,A1900;A2000;A2000c30,n50;n55;n60;n65,90000,0.0010;0.002;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0059;0.0060;0.0080;0.0086;0.0126
1.5,0.0,no_spin,0.160367099424,10,r15,v00,A1900;A2000,n65,90000,0.0010;0.002;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
1.7,0.0,no_spin,0.0893733698223,10,r17,v00,A1900;A2000,n65,90000,0.0010;0.002;0.0020;0.0030;0.0035;0.0040;0.0045;0.0050;0.0060;0.0080
1.1,0.0,prograde_z,0.267805900708,3,r11,v00,A1900;A2000,n65,90000,0.002;0.0040
1.2,0.0,prograde_z,0.153864292275,10,r12,v00,A1900;A2000,n65,90000,0.002;0.0040
1.3,0.0,prograde_z,0.25784273662,3,r13,v00,A1900;A2000,n65,90000,0.002;0.0040
1.4,0.0,prograde_z,0.241299192972,3,r14,v00,A1900;A2000,n65,90000,0.002;0.0040
1.5,0.0,prograde_z,0.155248340641,4,r15,v00,A1900;A2000,n65,90000,0.002;0.0040
1.6,0.0,prograde_z,0.115582456735,10,r16,v00,A1900;A2000,n65,90000,0.002;0.0040
1.7,0.0,prograde_z,0.139545630317,4,r17,v00,A1900;A2000,n65,90000,0.002;0.0040
1.8,0.0,prograde_z,0.229374702275,2,r18,v00,A2000,n65,90000,0.0040
1.9,0.0,prograde_z,0.191463914459,3,r19,v00,A1900;A2000,n65,90000,0.002;0.0040
2.0,0.0,prograde_z,0.0101172741298,8,r20,v00,A1900;A2000,n65,90000,0.002;0.0040
1.2,0.2,no_spin,0.157176924789,3,r12,v02,A1900;A2000;A2000c30,n65,90000,0.002;0.0040
1.4,0.2,no_spin,0.0794816715414,2,r14,v02,A1900;A2000,n65,90000,0.002;0.0040
1.6,0.2,no_spin,0.132059120009,3,r16,v02,A1900;A2000;A2000c30,n65,90000,0.002;0.0040
1.2,0.2,prograde_z,0.250224908621,2,r12,v02,A2000,n65,90000,0.0040
1.6,0.2,prograde_z,0.224557672443,3,r16,v02,A1900;A2000,n65,90000,0.002;0.0040
2.0,0.2,prograde_z,0.0806946736581,4,r20,v02,A1900;A2000,n65,90000,0.002;0.0040
1.2,0.4,no_spin,0.14395401509,3,r12,v04,A1900;A2000;A2000c30,n65,90000,0.002;0.0040
1.4,0.4,no_spin,0.112017805764,1,r14,v04,A2000,n65,90000,0.0040
1.6,0.4,no_spin,0.0718027538141,3,r16,v04,A1900;A2000;A2000c30,n65,90000,0.002;0.0040
1.2,0.4,prograde_z,0.117413547095,4,r12,v04,A1900;A2000,n65,90000,0.002;0.0040
1.6,0.4,prograde_z,0.00844387811704,3,r16,v04,A1900;A2000,n65,90000,0.002;0.0040
2.0,0.4,prograde_z,0.0460362495884,4,r20,v04,A1900;A2000,n65,90000,0.002;0.0040
1.2,0.6,no_spin,0.0982272546658,2,r12,v06,A2000;A2000c30,n65,90000,0.0040
1.4,0.6,no_spin,0.0271437453196,2,r14,v06,A1900;A2000,n65,90000,0.002;0.0040
1.6,0.6,no_spin,0.0176731530111,2,r16,v06,A2000;A2000c30,n65,90000,0.0040
1.2,0.6,prograde_z,0.0771329875276,4,r12,v06,A1900;A2000,n65,90000,0.002;0.0040
1.6,0.6,prograde_z,0.100947116293,6,r16,v06,A1900;A2000,n65,90000,0.002;0.0040
2.0,0.6,prograde_z,0.0308133025927,3,r20,v06,A1900;A2000,n65,90000,0.002;0.0040
1.2,0.8,prograde_z,0.0363822922674,4,r12,v08,A1900;A2000,n65,90000,0.002;0.0040
1.6,0.8,prograde_z,0.0606207373558,2,r16,v08,A2000,n65,90000,0.0040
2.0,0.8,prograde_z,0.0202426625926,2,r20,v08,A2000,n65,90000,0.0040
1.2,1.0,prograde_z,0.0178162431086,2,r12,v10,A2000,n65,90000,0.0040
1.6,1.0,prograde_z,0.00832848922607,2,r16,v10,A2000,n65,90000,0.0040
