periapsis,v_inf_kms,spin_orientation,bound_mass_fraction_median,raw_row_count
1.1,0.0,no_spin,0.19951542422550236,9
1.1,0.0,prograde_z,0.26780590070774357,3
1.2,0.0,equatorial,0.18653820942059754,18
1.2,0.0,no_spin,0.09133032367945601,39
1.2,0.0,prograde_z,0.1538642922752335,10
1.2,0.0,retrograde_z,0.0,7
1.2,0.2,no_spin,0.1571769247890623,3
1.2,0.2,prograde_z,0.2502249086213316,2
1.2,0.4,no_spin,0.14395401509003516,3
1.2,0.4,prograde_z,0.11741354709496712,4
1.2,0.6,no_spin,0.09822725466580384,2
1.2,0.6,prograde_z,0.07713298752762075,4
1.2,0.8,no_spin,0.008918444081564553,3
1.2,0.8,prograde_z,0.03638229226737384,4
1.2,1.0,no_spin,0.0,3
1.2,1.0,prograde_z,0.017816243108640446,2
1.2,1.2,no_spin,0.0,1
1.2,1.2,prograde_z,0.0,2
1.2,1.4,no_spin,0.0,1
1.2,1.4,prograde_z,0.0,2
1.2,1.5,prograde_z,0.0,1
1.2,1.6,no_spin,0.0,1
1.2,1.6,prograde_z,0.0,2
1.2,2.0,prograde_z,0.0,2
1.3,0.0,no_spin,0.20305967513722623,10
1.3,0.0,prograde_z,0.2578427366195575,3
1.4,0.0,no_spin,0.1836321383720284,14
1.4,0.0,prograde_z,0.2412991929719162,3
1.4,0.2,no_spin,0.07948167154139515,2
1.4,0.4,no_spin,0.11201780576429694,1
1.4,0.6,no_spin,0.027143745319589647,2
1.4,0.8,no_spin,0.0,1
1.4,1.0,no_spin,0.0,1
1.5,0.0,no_spin,0.16036709942352623,10
1.5,0.0,prograde_z,0.15524834064147713,4
1.6,0.0,equatorial,0.13042199081507022,10
1.6,0.0,no_spin,0.00020412082091309162,38
1.6,0.0,prograde_z,0.11558245673516401,10
1.6,0.0,retrograde_z,0.0,3
1.6,0.2,no_spin,0.13205912000907832,3
1.6,0.2,prograde_z,0.22455767244347552,3
1.6,0.4,no_spin,0.07180275381411774,3
1.6,0.4,prograde_z,0.008443878117039944,3
1.6,0.6,equatorial,2.2817845456488854e-05,10
1.6,0.6,no_spin,0.017673153011125015,2
1.6,0.6,prograde_z,0.10094711629270389,6
1.6,0.6,retrograde_z,0.0,3
1.6,0.8,no_spin,0.0,1
1.6,0.8,prograde_z,0.06062073735582872,2
1.6,1.0,no_spin,0.0,2
1.6,1.0,prograde_z,0.00832848922607336,2
1.7,0.0,no_spin,0.08937336982228122,10
1.7,0.0,prograde_z,0.13954563031676287,4
1.8,0.0,no_spin,0.0,11
1.8,0.0,prograde_z,0.2293747022750234,2
1.8,0.2,no_spin,0.0,2
1.8,0.4,no_spin,0.0,2
1.8,0.6,no_spin,0.0,1
1.8,0.8,no_spin,0.0,1
1.8,1.0,no_spin,0.0,1
1.9,0.0,no_spin,0.0,10
1.9,0.0,prograde_z,0.1914639144589117,3
2.0,0.0,equatorial,0.0,10
2.0,0.0,no_spin,0.0,10
2.0,0.0,prograde_z,0.010117274129818275,8
2.0,0.2,no_spin,0.0,1
2.0,0.2,prograde_z,0.08069467365811793,4
2.0,0.4,no_spin,0.0,1
2.0,0.4,prograde_z,0.046036249588395785,4
2.0,0.6,no_spin,0.0,2
2.0,0.6,prograde_z,0.030813302592699772,3
2.0,0.8,prograde_z,0.020242662592558688,2
2.0,1.0,prograde_z,0.0,2
