fof_file,physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,n_fragments,total_fragment_mass_kg,bound_fragment_count,bound_mass_kg,bound_mass_fraction,largest_bound_fragment_mass_kg,unbound_fragment_count,unbound_mass_kg,unbound_mass_fraction,largest_unbound_fragment_mass_kg
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0014,132,3.152599249646037e+18,0,0.0,0.0,0.0,132,3.152599249646037e+18,1.0,1.7405336223306835e+17
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0014,61,3.1572204980234496e+18,0,0.0,0.0,0.0,61,3.1572204980234496e+18,1.0,6.633225174549916e+17
Ma_xp_A1900_n70_r12_v00_90000_fof_0.001_0000.hdf5,Ma_xp_A1900_n70_r12_v00_90000.hdf5,A1900,n70,r12,v00,,90000,0.001,1189,9.752489065393467e+18,2,1.1837559214290026e+17,0.0121379876818271,1.1835579341701306e+17,1187,9.63411347325057e+18,0.9878620123181732,5.169199845024709e+17
Ma_xp_A1900_n65_r12_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v02_90000.hdf5,A1900,n65,r12,v02,,90000,0.002,268,9.655879807367002e+18,1,381006787927362.9,3.9458526362007095e-05,381006787927362.9,267,9.655498800579074e+18,0.999960541473638,6.28376219391658e+17
Ma_xp_A1900_n65_r12_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v04_90000.hdf5,A1900,n65,r12,v04,,90000,0.002,255,9.984177558680467e+18,0,0.0,0.0,0.0,255,9.984177558680467e+18,1.0,7.232593000513503e+17
Ma_xp_A1900_n65_r12_v08_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v08_90000.hdf5,A1900,n65,r12,v08,,90000,0.002,241,9.981185261472076e+18,0,0.0,0.0,0.0,241,9.981185261472076e+18,1.0,7.753116420384049e+17
Ma_xp_A1900_n65_r12_v10_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v10_90000.hdf5,A1900,n65,r12,v10,,90000,0.002,284,9.505983063680215e+18,0,0.0,0.0,0.0,284,9.505983063680215e+18,1.0,9.581918026295567e+17
Ma_xp_A1900_n65_r13_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r13_v00_90000.hdf5,A1900,n65,r13,v00,,90000,0.002,252,9.985571485955656e+18,0,0.0,0.0,0.0,252,9.985571485955656e+18,1.0,7.184982640102825e+17
Ma_xp_A1900_n65_r14_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r14_v00_90000.hdf5,A1900,n65,r14,v00,,90000,0.002,248,9.98832836433961e+18,0,0.0,0.0,0.0,248,9.98832836433961e+18,1.0,8.008948539207593e+17
