fof_file,physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,largest_fragment_particle_count,total_fragment_mass_kg,bound_fragment_count,energy_bound_mass_kg,energy_bound_mass_fraction,bound_mass_kg,bound_mass_fraction,largest_bound_fragment_mass_kg,unbound_fragment_count,unbound_mass_kg,unbound_mass_fraction,largest_unbound_fragment_mass_kg,target_mass_kg,captured_mass_kg,captured_mass_fraction,raw_hdf5_path,method,unresolved_handling,simulation_id,filename,file_path,file_size_bytes,mass_value,special_case_code,spin_value,spin_axis,has_explicit_spin,resolution_value,periapsis_value,velocity_value,chunk_index,parttype_group,particle_count_total,n_fof_groups,fragment_count_min_particles,mass_metrics_available,mass_unit,total_particle_mass_kg,largest_fragment_mass_kg,fragment_mass_fraction,particle_count_metrics_are_proxies,excluded_group_ids,min_particles,bound_mass_kg_existing_fof_csv,bound_mass_fraction_existing_fof_csv,unbound_mass_kg_existing_fof_csv,unbound_mass_fraction_existing_fof_csv
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0001,0,0.0,0.0,5.15849436067e+17,0.51607804736,3.14310755211e+17,0.314450049709,0.0,0.0,6.85246266649e+17,0.6855499502910001,0.0,9.9955702186e+17,3.14310755211e+17,0.314450049709,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,140435643,1800,,,,False,60,12,0,0,PartType0,1002827,0,0,True,kg,0.0,0.0,,True,"-1,2147483647",20,0.0,0.0,0.0,0.0
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0013,69353,9.907059800543278e+17,0.0,5.15849436067e+17,0.51607804736,3.14310755211e+17,0.314450049709,0.0,265.0,6.85246266649e+17,0.6855499502910001,6.9126856513801624e+16,9.9955702186e+17,3.14310755211e+17,0.314450049709,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,140435643,1800,,,,False,60,12,0,0,PartType0,1002827,265,265,True,kg,9.907059800543278e+17,6.9126724252498056e+16,1.0,True,"-1,2147483647",20,0.0,0.0,9.907059774086918e+17,1.0
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0014,69353,9.908983502255526e+17,0.0,5.15849436067e+17,0.51607804736,3.14310755211e+17,0.314450049709,0.0,265.0,6.85246266649e+17,0.6855499502910001,6.9126856513801624e+16,9.9955702186e+17,3.14310755211e+17,0.314450049709,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,140435651,1800,,,,False,60,12,0,0,PartType0,1002827,265,265,True,kg,9.908983502255526e+17,6.9126724252498056e+16,1.0,True,"-1,2147483647",20,0.0,0.0,9.908983480820175e+17,1.0
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0016,69353,9.912163097477622e+17,0.0,5.15849436067e+17,0.51607804736,3.14310755211e+17,0.314450049709,0.0,264.0,6.85246266649e+17,0.6855499502910001,6.9126856513801624e+16,9.9955702186e+17,3.14310755211e+17,0.314450049709,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,140435643,1800,,,,False,60,12,0,0,PartType0,1002827,264,264,True,kg,9.912163097477622e+17,6.9126724252498056e+16,1.0,True,"-1,2147483647",20,0.0,0.0,9.912163078995868e+17,1.0
Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.002,69353,9.908983502255526e+17,0.0,5.15849436067e+17,0.51607804736,3.14310755211e+17,0.314450049709,0.0,265.0,6.85246266649e+17,0.6855499502910001,6.9126856513801624e+16,9.9955702186e+17,3.14310755211e+17,0.314450049709,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,140435651,1800,,,,False,60,12,0,0,PartType0,1002827,265,265,True,kg,9.908983502255526e+17,6.9126724252498056e+16,1.0,True,"-1,2147483647",20,0.0,0.0,9.908983480820175e+17,1.0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0001,0,0.0,0.0,4.5488388045e+17,0.455085473367,2.67534779416e+17,0.267653343997,0.0,0.0,7.32022242444e+17,0.732346656003,0.0,9.9955702186e+17,2.67534779416e+17,0.267653343997,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,140435643,1800,,,,False,60,16,0,0,PartType0,1002827,0,0,True,kg,0.0,0.0,,True,"-1,2147483647",20,0.0,0.0,0.0,0.0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0013,278913,9.97134939699838e+17,0.0,4.5488388045e+17,0.455085473367,2.67534779416e+17,0.267653343997,0.0,88.0,7.32022242444e+17,0.732346656003,2.7800353165490752e+17,9.9955702186e+17,2.67534779416e+17,0.267653343997,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,140435643,1800,,,,False,60,16,0,0,PartType0,1002827,88,88,True,kg,9.97134939699838e+17,2.780033845824071e+17,1.0,True,"-1,2147483647",20,0.0,0.0,9.971349455086552e+17,1.0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0014,278913,9.972346132906166e+17,0.0,4.5488388045e+17,0.455085473367,2.67534779416e+17,0.267653343997,0.0,88.0,7.32022242444e+17,0.732346656003,2.7800353165490752e+17,9.9955702186e+17,2.67534779416e+17,0.267653343997,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,140435651,1800,,,,False,60,16,0,0,PartType0,1002827,88,88,True,kg,9.972346132906166e+17,2.780033845824071e+17,1.0,True,"-1,2147483647",20,0.0,0.0,9.972346194326582e+17,1.0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0016,278913,9.973442540741564e+17,0.0,4.5488388045e+17,0.455085473367,2.67534779416e+17,0.267653343997,0.0,88.0,7.32022242444e+17,0.732346656003,2.7800353165490752e+17,9.9955702186e+17,2.67534779416e+17,0.267653343997,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,140435643,1800,,,,False,60,16,0,0,PartType0,1002827,88,88,True,kg,9.973442540741564e+17,2.780033845824071e+17,1.0,True,"-1,2147483647",20,0.0,0.0,9.973442607490614e+17,1.0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.002,278913,9.974967552631336e+17,0.0,4.5488388045e+17,0.455085473367,2.67534779416e+17,0.267653343997,0.0,88.0,7.32022242444e+17,0.732346656003,2.7800353165490752e+17,9.9955702186e+17,2.67534779416e+17,0.267653343997,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,140435651,1800,,,,False,60,16,0,0,PartType0,1002827,88,88,True,kg,9.974967552631336e+17,2.780033845824071e+17,1.0,True,"-1,2147483647",20,0.0,0.0,9.974967618527858e+17,1.0
