fof_file,expected_physical_file,issue_type,expected_physical_exists,fof_particle_count,physical_particle_count,note
Ma_xp_A1900_n50_r12_v00_54000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_54000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n50_r12_v00_56000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_56000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n50_r12_v00_58000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_58000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n50_r12_v00_60000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_60000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n50_r12_v00_62000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_62000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n50_r12_v00_64000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_64000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n50_r12_v00_66000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_66000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n50_r12_v00_68000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_68000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n50_r12_v00_70000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_70000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n50_r12_v00_72000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_72000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n50_r16_v00_72000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r16_v00_72000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n55_r12_v00_72000_fof_0.004_0000.hdf5,Ma_xp_A1900_n55_r12_v00_72000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
Ma_xp_A1900_n55_r16_v00_72000_fof_0.004_0000.hdf5,Ma_xp_A1900_n55_r16_v00_72000.hdf5,missing_physical_snapshot,False,,,Matching non-FoF physical snapshot was not found; live martian_moons_data directory unavailable in this environment
