v_inf_kms,periapsis,available_spins,spin_count,min_bound_mass_fraction,max_bound_mass_fraction,spin_spread
0,1.1,no_spin;prograde_z,2,0.199515424226,0.267805900708,0.068290476482
0,1.2,equatorial;no_spin;prograde_z,3,0.0913303236795,0.186538209421,0.0952078857415
0,1.3,no_spin;prograde_z,2,0.203059675137,0.25784273662,0.054783061483
0,1.4,no_spin;prograde_z,2,0.183632138372,0.241299192972,0.0576670546
0,1.5,no_spin;prograde_z,2,0.155248340641,0.160367099424,0.005118758783
0,1.6,equatorial;prograde_z,2,0.115582456735,0.130421990815,0.01483953408
0,1.7,no_spin;prograde_z,2,0.0893733698223,0.139545630317,0.0501722604947
0,1.8,prograde_z,1,0.229374702275,0.229374702275,0
0,1.9,prograde_z,1,0.191463914459,0.191463914459,0
0,2,prograde_z,1,0.0101172741298,0.0101172741298,0
0.2,1.2,no_spin;prograde_z,2,0.157176924789,0.250224908621,0.093047983832
0.2,1.4,no_spin,1,0.0794816715414,0.0794816715414,0
0.2,1.6,no_spin;prograde_z,2,0.132059120009,0.224557672443,0.092498552434
0.2,2,prograde_z,1,0.0806946736581,0.0806946736581,0
0.4,1.2,no_spin;prograde_z,2,0.117413547095,0.14395401509,0.026540467995
0.4,1.4,no_spin,1,0.112017805764,0.112017805764,0
0.4,1.6,no_spin;prograde_z,2,0.00844387811704,0.0718027538141,0.0633588756971
0.4,2,prograde_z,1,0.0460362495884,0.0460362495884,0
0.6,1.2,no_spin;prograde_z,2,0.0771329875276,0.0982272546658,0.0210942671382
0.6,1.4,no_spin,1,0.0271437453196,0.0271437453196,0
0.6,1.6,no_spin;prograde_z,2,0.0176731530111,0.100947116293,0.0832739632819
0.6,2,prograde_z,1,0.0308133025927,0.0308133025927,0
0.8,1.2,prograde_z,1,0.0363822922674,0.0363822922674,0
0.8,1.6,prograde_z,1,0.0606207373558,0.0606207373558,0
0.8,2,prograde_z,1,0.0202426625926,0.0202426625926,0
1,1.2,prograde_z,1,0.0178162431086,0.0178162431086,0
1,1.6,prograde_z,1,0.00832848922607,0.00832848922607,0
