fof_file,physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,n_fragments,largest_fragment_particle_count,total_fragment_mass_kg,bound_fragment_count,bound_mass_kg,bound_mass_fraction,largest_bound_fragment_mass_kg,unbound_fragment_count,unbound_mass_kg,unbound_mass_fraction,largest_unbound_fragment_mass_kg,target_mass_kg,captured_mass_kg,captured_mass_fraction,raw_hdf5_path,method,unresolved_handling,normalization_notes
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0001,0,0,0.0,0,5.15849436067e+17,0.51607804736,0.0,0,4.83707585793e+17,0.48392195264,0.0,9.9955702186e+17,3.14310755211e+17,0.314450049709,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0013,265,69353,9.907059774086918e+17,0,5.15849436067e+17,0.51607804736,0.0,265,4.83707585793e+17,0.48392195264,6.9126856513801624e+16,9.9955702186e+17,3.14310755211e+17,0.314450049709,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0014,265,69353,9.908983480820175e+17,0,5.15849436067e+17,0.51607804736,0.0,265,4.83707585793e+17,0.48392195264,6.9126856513801624e+16,9.9955702186e+17,3.14310755211e+17,0.314450049709,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0016,264,69353,9.912163078995868e+17,0,5.15849436067e+17,0.51607804736,0.0,264,4.83707585793e+17,0.48392195264,6.9126856513801624e+16,9.9955702186e+17,3.14310755211e+17,0.314450049709,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.002,265,69353,9.908983480820175e+17,0,5.15849436067e+17,0.51607804736,0.0,265,4.83707585793e+17,0.48392195264,6.9126856513801624e+16,9.9955702186e+17,3.14310755211e+17,0.314450049709,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0001,0,0,0.0,0,4.5488388045e+17,0.455085473367,0.0,0,5.4467314141e+17,0.544914526633,0.0,9.9955702186e+17,2.67534779416e+17,0.267653343997,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0013,88,278913,9.971349455086552e+17,0,4.5488388045e+17,0.455085473367,0.0,88,5.4467314141e+17,0.544914526633,2.7800353165490752e+17,9.9955702186e+17,2.67534779416e+17,0.267653343997,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0014,88,278913,9.972346194326582e+17,0,4.5488388045e+17,0.455085473367,0.0,88,5.4467314141e+17,0.544914526633,2.7800353165490752e+17,9.9955702186e+17,2.67534779416e+17,0.267653343997,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0016,88,278913,9.973442607490614e+17,0,4.5488388045e+17,0.455085473367,0.0,88,5.4467314141e+17,0.544914526633,2.7800353165490752e+17,9.9955702186e+17,2.67534779416e+17,0.267653343997,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.002,88,278913,9.974967618527858e+17,0,4.5488388045e+17,0.455085473367,0.0,88,5.4467314141e+17,0.544914526633,2.7800353165490752e+17,9.9955702186e+17,2.67534779416e+17,0.267653343997,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0014,132,55215,3.152599249646037e+18,0,1.56546207236e+18,0.495212035575,0.0,132,1.59573345581e+18,0.504787964425,1.7405336223306835e+17,3.16119552817e+18,1.15136228191e+18,0.36421735753,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0019,135,55222,3.1545883408634404e+18,0,1.56546207236e+18,0.495212035575,0.0,135,1.59573345581e+18,0.504787964425,1.740754282212171e+17,3.16119552817e+18,1.15136228191e+18,0.36421735753,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1850_n60_r12_v00_90000_fof_0.0024_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.0024,135,55225,3.1552093408156257e+18,0,1.56546207236e+18,0.495212035575,0.0,135,1.59573345581e+18,0.504787964425,1.7408488507328083e+17,3.16119552817e+18,1.15136228191e+18,0.36421735753,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1850_n60_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,A1850,n60,r12,v00,,90000,0.002,135,55222,3.1547491073485245e+18,0,1.56546207236e+18,0.495212035575,0.0,135,1.59573345581e+18,0.504787964425,1.740754282212171e+17,3.16119552817e+18,1.15136228191e+18,0.36421735753,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0014,61,210426,3.1572204980234496e+18,0,1.51017416291e+18,0.477722478553,0.0,61,1.65102136526e+18,0.522277521447,6.633225174549916e+17,3.16119552817e+18,9.75682341119e+17,0.308643464925,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0019,61,210429,3.1580590055731005e+18,0,1.51017416291e+18,0.477722478553,0.0,61,1.65102136526e+18,0.522277521447,6.633319743070554e+17,3.16119552817e+18,9.75682341119e+17,0.308643464925,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1850_n60_r16_v00_90000_fof_0.0024_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.0024,61,210429,3.1581724877978655e+18,0,1.51017416291e+18,0.477722478553,0.0,61,1.65102136526e+18,0.522277521447,6.633319743070554e+17,3.16119552817e+18,9.75682341119e+17,0.308643464925,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1850_n60_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,A1850,n60,r16,v00,,90000,0.002,61,210429,3.158099985265377e+18,0,1.51017416291e+18,0.477722478553,0.0,61,1.65102136526e+18,0.522277521447,6.633319743070554e+17,3.16119552817e+18,9.75682341119e+17,0.308643464925,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1850_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1900_n50_r12_v00_90000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r12_v00_90000.hdf5,A1900,n50,r12,v00,,90000,0.006,47,10370,9.977113779923413e+18,0,5.29730393397e+18,0.5298651075,0.0,47,4.70015364343e+18,0.4701348925,9.545935737544728e+17,9.9974575774e+18,4.05467532721e+18,0.405570645919,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n50_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1900_n50_r16_v00_90000_fof_0.006_0000.hdf5,Ma_xp_A1900_n50_r16_v00_90000.hdf5,A1900,n50,r16,v00,,90000,0.006,17,45734,9.99018536020568e+18,0,4.38413438222e+18,0.438524929791,0.0,17,5.61332319518e+18,0.561475070209,4.2099693830416394e+18,9.9974575774e+18,3.84368897513e+18,0.384466645182,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n50_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1900_n55_r12_v00_90000_fof_0.004_0000.hdf5,Ma_xp_A1900_n55_r12_v00_90000.hdf5,A1900,n55,r12,v00,,90000,0.004,72,28826,9.98386401305505e+18,0,4.97001916991e+18,0.497108451088,0.0,72,5.02783775453e+18,0.502891548912,9.023706120435626e+17,9.99785692444e+18,4.1350461825e+18,0.413593254409,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n55_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1900_n55_r16_v00_90000_fof_0.004_0000.hdf5,Ma_xp_A1900_n55_r16_v00_90000.hdf5,A1900,n55,r16,v00,,90000,0.004,36,90645,9.99037525593954e+18,0,4.57176901635e+18,0.457274899101,0.0,36,5.42608790809e+18,0.542725100899,2.837555822133129e+18,9.99785692444e+18,3.75946016282e+18,0.376026601624,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n55_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1900_n60_r12_v00_90000_fof_0.003_0000.hdf5,Ma_xp_A1900_n60_r12_v00_90000.hdf5,A1900,n60,r12,v00,,90000,0.003,123,64224,9.988487567434828e+18,1,4.97169199668e+18,0.497267225553,1.835448272894502e+17,122,5.02633671142e+18,0.502732774447,6.403032584372952e+17,9.9980287081e+18,3.94453885294e+18,0.394531659,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n60_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1900_n60_r16_v00_90000_fof_0.003_0000.hdf5,Ma_xp_A1900_n60_r16_v00_90000.hdf5,A1900,n60,r16,v00,,90000,0.003,63,264980,9.990750722011933e+18,0,4.74237561577e+18,0.474331066076,0.0,63,5.25565309233e+18,0.525668933924,2.6418092523231416e+18,9.9980287081e+18,3.44014450735e+18,0.344082279396,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n60_r16_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1900_n65_r12_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1900_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,,90000,0.0019,219,230085,9.988508185932618e+18,0,5.03232844263e+18,0.503325594062,0.0,219,4.9658288178e+18,0.496674405938,7.127150260422953e+17,9.99815726043e+18,3.96335967371e+18,0.396409015229,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
Ma_xp_A1900_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r12_v00_90000.hdf5,A1900,n65,r12,v00,,90000,0.002,219,230085,9.988783873775448e+18,0,5.03232844263e+18,0.503325594062,0.0,219,4.9658288178e+18,0.496674405938,7.127150260422953e+17,9.99815726043e+18,3.96335967371e+18,0.396409015229,/rds/general/user/nny124/home/irp-nny124/martian_moon_data/Ma_xp_A1900_n65_r12_v00_90000.hdf5,particle_level_raw_snapshot_parent_normalized,All raw asteroid particles in the physical snapshot are included in the denominator; all raw bound/captured asteroid particles are included in the numerator. No FoF background or unresolved material is discarded for the particle-level metrics.,Corrected bound_mass_fraction uses bound_mass_kg / target_mass_kg from raw particle-level Mars-centric orbit tests.
