simulation_id,filename,file_path,file_size_bytes,mass_code,mass_value,special_case_code,spin_code,spin_value,spin_axis,has_explicit_spin,resolution_code,resolution_value,periapsis_code,periapsis_value,velocity_code,velocity_value,timestep,fof_linking_length,chunk_index
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,0.0001,0
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,0.0013,0
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,140435651,A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,0.0014,0
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,0.0016,0
Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,140435651,A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,0.002,0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,0.0001,0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,0.0013,0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,140435651,A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,0.0014,0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,0.0016,0
Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,140435651,A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,0.002,0
