task,dataset,feature_set,target,model,bin,count,mean_score,actual_rate
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,all,407,0.0,0.36363636363636365
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(0.999, 82.2]",82,0.0034307416872595806,0.0
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(82.2, 163.4]",81,0.013068694809290897,0.0
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(163.4, 244.6]",81,0.0787595712957654,0.024691358024691357
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(244.6, 325.8]",81,0.842531138629065,0.7901234567901234
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(325.8, 407.0]",82,0.9810967842454278,1.0
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(0.999, 82.2]",82,0.003235461682465719,0.0
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(82.2, 163.4]",81,0.05316200786032194,0.012345679012345678
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(163.4, 244.6]",81,0.29292034161368363,0.1111111111111111
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(244.6, 325.8]",81,0.7264580163138321,0.7037037037037037
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(325.8, 407.0]",82,0.9646321867827287,0.9878048780487805
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(0.999, 82.2]",82,0.01430666409321927,0.0
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(82.2, 163.4]",81,0.05110523288619243,0.0
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(163.4, 244.6]",81,0.23488395786167462,0.037037037037037035
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(244.6, 325.8]",81,0.7169447747220047,0.7777777777777778
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,"(325.8, 407.0]",82,0.9574804942441538,1.0
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,dummy_most_frequent,all,407,1.0,0.5528255528255528
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,"(0.999, 82.2]",82,0.023552421158329243,0.024390243902439025
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,"(82.2, 163.4]",81,0.14942092046814573,0.09876543209876543
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,"(163.4, 244.6]",81,0.6649812887045043,0.6419753086419753
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,"(244.6, 325.8]",81,0.9492819250243529,1.0
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,gradient_boosting_classifier,"(325.8, 407.0]",82,0.9817533977701511,1.0
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,logistic_regression,"(0.999, 82.2]",82,0.040362253110680986,0.012195121951219513
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,logistic_regression,"(82.2, 163.4]",81,0.23829048835639516,0.2716049382716049
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,logistic_regression,"(163.4, 244.6]",81,0.5714312944934491,0.6419753086419753
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,logistic_regression,"(244.6, 325.8]",81,0.841017602897705,0.8395061728395061
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,logistic_regression,"(325.8, 407.0]",82,0.9740478263401279,1.0
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,random_forest_classifier,"(0.999, 82.2]",82,0.044986407541383736,0.0
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,random_forest_classifier,"(82.2, 163.4]",81,0.25922328337727585,0.13580246913580246
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,random_forest_classifier,"(163.4, 244.6]",81,0.5825841118216696,0.6296296296296297
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,random_forest_classifier,"(244.6, 325.8]",81,0.8635091968819758,1.0
classification,all_successful_runs,with_fof_linking_length,has_any_bound_mass,random_forest_classifier,"(325.8, 407.0]",82,0.9717915321133379,1.0
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,all,407,0.0,0.36363636363636365
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(0.999, 82.2]",82,0.0032888336836183513,0.0
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(82.2, 163.4]",81,0.010395930539800091,0.0
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(163.4, 244.6]",81,0.1067376520723161,0.07407407407407407
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(244.6, 325.8]",81,0.8345776973500968,0.7654320987654321
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,"(325.8, 407.0]",82,0.9542046880078175,0.975609756097561
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(0.999, 82.2]",82,0.0036287908622029217,0.0
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(82.2, 163.4]",81,0.05685680179150595,0.012345679012345678
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,"(163.4, 244.6]",81,0.3059570337830072,0.12345679012345678
