task,dataset,target,model,with_feature_set,without_feature_set,rows,unique_physical_files,test_balanced_accuracy_with,test_balanced_accuracy_without,balanced_accuracy_delta_with_minus_without,test_f1_with,test_f1_without,f1_delta_with_minus_without,test_roc_auc_with,test_roc_auc_without,roc_auc_delta_with_minus_without,test_mae_with,test_mae_without,mae_delta_without_minus_with,test_rmse_with,test_rmse_without,rmse_delta_without_minus_with,test_r2_with,test_r2_without,r2_delta_with_minus_without
classification,all_successful_runs,bound_mass_fraction_ge_0_1,dummy_most_frequent,with_fof_linking_length,without_fof_linking_length,407,279,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,,,,,,,,,
classification,all_successful_runs,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,with_fof_linking_length,without_fof_linking_length,407,279,0.9618725868725868,0.9401544401544402,0.021718146718146647,0.9470198675496688,0.9113924050632911,0.035627462486377715,0.9899170405927163,0.9819602420953772,0.007956798497339101,,,,,,,,,
classification,all_successful_runs,bound_mass_fraction_ge_0_1,logistic_regression,with_fof_linking_length,without_fof_linking_length,407,279,0.916023166023166,0.9242277992277992,-0.00820463320463316,0.8846153846153846,0.8924050632911392,-0.007789678675754641,0.9726077428780131,0.9717468433684651,0.000860899509548041,,,,,,,,,
classification,all_successful_runs,bound_mass_fraction_ge_0_1,random_forest_classifier,with_fof_linking_length,without_fof_linking_length,407,279,0.9493243243243243,0.9531853281853282,-0.0038610038610038533,0.9306930693069307,0.9368770764119602,-0.006184007105029421,0.9923301680058437,0.9796775540018784,0.012652614003965335,,,,,,,,,
classification,all_successful_runs,has_any_bound_mass,dummy_most_frequent,with_fof_linking_length,without_fof_linking_length,407,279,0.5,0.5,0.0,0.7120253164556962,0.7120253164556962,0.0,0.5,0.5,0.0,,,,,,,,,
classification,all_successful_runs,has_any_bound_mass,gradient_boosting_classifier,with_fof_linking_length,without_fof_linking_length,407,279,0.9271550671550671,0.9139438339438339,0.013211233211233187,0.9359823399558499,0.9254385964912281,0.010543743464621835,0.9754212454212454,0.9634432234432235,0.011978021978021891,,,,,,,,,
classification,all_successful_runs,has_any_bound_mass,logistic_regression,with_fof_linking_length,without_fof_linking_length,407,279,0.8492185592185593,0.8591575091575092,-0.009938949938949948,0.8635346756152126,0.87248322147651,-0.008948545861297452,0.925030525030525,0.9214163614163614,0.003614163614163557,,,,,,,,,
classification,all_successful_runs,has_any_bound_mass,random_forest_classifier,with_fof_linking_length,without_fof_linking_length,407,279,0.8956410256410257,0.8824297924297925,0.013211233211233187,0.9066666666666666,0.8962472406181016,0.01041942604856505,0.9705006105006105,0.9474481074481074,0.02305250305250317,,,,,,,,,
classification,positive_bound_runs,bound_mass_fraction_ge_0_1,dummy_most_frequent,with_fof_linking_length,without_fof_linking_length,225,160,0.5,0.5,0.0,0.7935656836461126,0.7935656836461126,0.0,0.5,0.5,0.0,,,,,,,,,
classification,positive_bound_runs,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,with_fof_linking_length,without_fof_linking_length,225,160,0.8758336258336259,0.8758336258336259,0.0,0.9281045751633987,0.9281045751633987,0.0,0.9348016848016848,0.943050193050193,-0.008248508248508202,,,,,,,,,
classification,positive_bound_runs,bound_mass_fraction_ge_0_1,logistic_regression,with_fof_linking_length,without_fof_linking_length,225,160,0.888030888030888,0.888030888030888,0.0,0.9220338983050848,0.9220338983050848,0.0,0.9251491751491752,0.9381800631800632,-0.013030888030888033,,,,,,,,,
classification,positive_bound_runs,bound_mass_fraction_ge_0_1,random_forest_classifier,with_fof_linking_length,without_fof_linking_length,225,160,0.8727184977184977,0.8693401193401193,0.0033783783783783994,0.9285714285714286,0.9250814332247557,0.003489995346672936,0.9048789048789049,0.9104510354510355,-0.005572130572130574,,,,,,,,,
regression,all_successful_runs,average_bound_fragment_mass_kg,dummy_mean,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,1.2897173327336811e+17,1.2897173327336811e+17,0.0,2.5868411010492262e+17,2.5868411010492262e+17,0.0,-0.012175555529168491,-0.012175555529168491,0.0
regression,all_successful_runs,average_bound_fragment_mass_kg,gradient_boosting_regressor,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,7.883540707545938e+16,8.494125780465043e+16,6105850729191056.0,1.8349093409510694e+17,1.853905089725598e+17,1899574877452864.0,0.49073296799846966,0.4801340980101384,0.010598869988331261
regression,all_successful_runs,average_bound_fragment_mass_kg,random_forest_regressor,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,6.554340450530933e+16,7.323150919160082e+16,7688104686291488.0,1.687604785735551e+17,1.7254713807505507e+17,3786659501499968.0,0.5692177145253992,0.5496689833487631,0.019548731176636025
regression,all_successful_runs,average_bound_fragment_mass_kg,ridge,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,1.022620446164625e+17,1.0350792310996704e+17,1245878493504544.0,1.780088625905061e+17,1.8149287874327488e+17,3484016152768768.0,0.5207086513704277,0.5017635253874118,0.018945125983015898
regression,all_successful_runs,bound_fragment_count,dummy_mean,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,124.51415291390751,124.51415291390751,0.0,267.690050357929,267.690050357929,0.0,-0.018795041898805875,-0.018795041898805875,0.0
regression,all_successful_runs,bound_fragment_count,gradient_boosting_regressor,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,84.29040874619623,95.44444907984364,11.154040333647401,197.89271614686987,242.3574169647845,44.46470081791463,0.4432221075978885,0.16490670977173916,0.27831539782614934
regression,all_successful_runs,bound_fragment_count,random_forest_regressor,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,65.9115112268294,85.59947755963285,19.68796633280344,189.30720849027298,237.52602183407552,48.21881334380254,0.4904853604109257,0.19787000981016212,0.2926153506007636
regression,all_successful_runs,bound_fragment_count,ridge,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,118.94453642365286,116.38408374434147,-2.560452679311396,241.21501580423637,243.27566326517504,2.060647460938668,0.17276092023295464,0.15856670166176356,0.014194218571191075
regression,all_successful_runs,bound_mass_fraction,dummy_mean,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,0.08547816585918852,0.08547816585918852,0.0,0.09426536057663217,0.09426536057663217,0.0,-0.026330097028252064,-0.026330097028252064,0.0
regression,all_successful_runs,bound_mass_fraction,gradient_boosting_regressor,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,0.022750379689608313,0.024421184872556245,0.001670805182947932,0.031689090840589476,0.03747515929655198,0.005786068455962502,0.8840148582812355,0.8377929321812201,0.04622192610001541
regression,all_successful_runs,bound_mass_fraction,random_forest_regressor,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,0.018393835746728145,0.020770964126030838,0.0023771283793026926,0.02984416839918514,0.036917866493093025,0.007073698093907885,0.8971269153614542,0.8425814207672061,0.05454549459424807
regression,all_successful_runs,bound_mass_fraction,ridge,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,0.04350587349449202,0.04386249051257463,0.0003566170180826153,0.05324873063744105,0.053729914290103764,0.0004811836526627117,0.6725075311196393,0.6665619986449092,0.005945532474730175
regression,all_successful_runs,largest_bound_fragment_mass_kg,dummy_mean,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,1.858707031952421e+18,1.858707031952421e+18,0.0,3.873629750493335e+18,3.873629750493335e+18,0.0,-0.015721400371806693,-0.015721400371806693,0.0
regression,all_successful_runs,largest_bound_fragment_mass_kg,gradient_boosting_regressor,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,7.682351232684941e+17,8.237797851547762e+17,5.554466188628211e+16,1.734224147611879e+18,1.782267083110062e+18,4.804293549818317e+16,0.7964135611261054,0.7849774738288322,0.01143608729727319
regression,all_successful_runs,largest_bound_fragment_mass_kg,random_forest_regressor,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,5.675631157883974e+17,6.49565056334354e+17,8.200194054595667e+16,1.611692004395829e+18,1.7001697805570496e+18,8.84777761612206e+16,0.8241661480013522,0.8043305732128184,0.019835574788533816
regression,all_successful_runs,largest_bound_fragment_mass_kg,ridge,with_fof_linking_length,without_fof_linking_length,407,279,,,,,,,,,,1.7089787698340014e+18,1.7598185983834962e+18,5.083982854949478e+16,3.349991055090344e+18,3.4110198281723377e+18,6.102877308199373e+16,0.24032876456251162,0.2123978818201594,0.027930882742352225
regression,positive_bound_runs,average_bound_fragment_mass_kg,dummy_mean,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,1.2897173327336811e+17,1.2897173327336811e+17,0.0,2.5868411010492262e+17,2.5868411010492262e+17,0.0,-0.012175555529168491,-0.012175555529168491,0.0
regression,positive_bound_runs,average_bound_fragment_mass_kg,gradient_boosting_regressor,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,7.883540707545938e+16,8.494125780465043e+16,6105850729191056.0,1.8349093409510694e+17,1.853905089725598e+17,1899574877452864.0,0.49073296799846966,0.4801340980101384,0.010598869988331261
regression,positive_bound_runs,average_bound_fragment_mass_kg,random_forest_regressor,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,6.554340450530933e+16,7.323150919160082e+16,7688104686291488.0,1.6876047857355514e+17,1.7254713807505507e+17,3786659501499936.0,0.5692177145253992,0.5496689833487631,0.019548731176636025
regression,positive_bound_runs,average_bound_fragment_mass_kg,ridge,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,1.022620446164625e+17,1.0350792310996704e+17,1245878493504544.0,1.780088625905061e+17,1.8149287874327488e+17,3484016152768768.0,0.5207086513704277,0.5017635253874118,0.018945125983015898
regression,positive_bound_runs,bound_fragment_count,dummy_mean,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,183.92370370370375,183.92370370370375,0.0,338.2024649288509,338.2024649288509,0.0,-0.008091310971516608,-0.008091310971516608,0.0
regression,positive_bound_runs,bound_fragment_count,gradient_boosting_regressor,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,94.89526803999296,146.16088729899548,51.26561925900252,244.6545537900165,321.49015177440765,76.83559798439114,0.4724629798415865,0.089076970686777,0.38338600915480947
regression,positive_bound_runs,bound_fragment_count,random_forest_regressor,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,92.67071832180166,145.65675189652015,52.98603357471849,239.23311944795472,320.32575327401054,81.09263382605582,0.49558389902482225,0.09566352757339702,0.3999203714514252
regression,positive_bound_runs,bound_fragment_count,ridge,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,173.6049346907089,163.13862763570026,-10.466307055008627,296.6644370825882,309.9602757019545,13.295838619366293,0.22432943660449167,0.15324374907690175,0.07108568752758992
regression,positive_bound_runs,bound_mass_fraction,dummy_mean,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,0.06984857919472323,0.06984857919472323,0.0,0.08088673896784215,0.08088673896784215,0.0,-0.00567146916620187,-0.00567146916620187,0.0
regression,positive_bound_runs,bound_mass_fraction,gradient_boosting_regressor,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,0.019336320339722886,0.01951596517879413,0.00017964483907124268,0.02802036768632949,0.028356915469550888,0.000336547783221397,0.8793161557726992,0.8763997204243652,0.0029164353483339678
regression,positive_bound_runs,bound_mass_fraction,random_forest_regressor,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,0.02545020329926694,0.02580590122023747,0.00035569792097053105,0.03522240549058218,0.03584396957908965,0.0006215640885074702,0.8093049144384828,0.8025151992939163,0.006789715144566499
regression,positive_bound_runs,bound_mass_fraction,ridge,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,0.026339640384129056,0.026550202731182353,0.00021056234705329677,0.03587947260066117,0.03638896742852951,0.0005094948278683425,0.8021237928994982,0.7964641381938775,0.005659654705620687
regression,positive_bound_runs,largest_bound_fragment_mass_kg,dummy_mean,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,2.2111141838006385e+18,2.2111141838006385e+18,0.0,4.919943136860264e+18,4.919943136860264e+18,0.0,-0.04840482797382095,-0.04840482797382095,0.0
regression,positive_bound_runs,largest_bound_fragment_mass_kg,gradient_boosting_regressor,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,1.2052284214779167e+18,1.2660741694002575e+18,6.084574792234086e+16,3.728886040810657e+18,3.752910712090708e+18,2.40246712800512e+16,0.39776350819308814,0.3899782645998988,0.007785243593189328
regression,positive_bound_runs,largest_bound_fragment_mass_kg,random_forest_regressor,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,1.162849973195293e+18,1.22494209171196e+18,6.209211851666714e+16,3.741817143791182e+18,3.765603654988446e+18,2.3786511197264384e+16,0.39357937117600006,0.3858449048529333,0.007734466323066735
regression,positive_bound_runs,largest_bound_fragment_mass_kg,ridge,with_fof_linking_length,without_fof_linking_length,225,160,,,,,,,,,,2.313372234472786e+18,2.4048560137642563e+18,9.148377929147034e+16,4.4576407556701455e+18,4.540375483638185e+18,8.273472796803942e+16,0.13936505428958856,0.10712145899830994,0.032243595291278626
