task,dataset,feature_set,target,model,rows,unique_physical_files,train_accuracy,test_accuracy,accuracy_gap,train_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_gap,train_f1,test_f1,f1_gap,train_roc_auc,test_roc_auc,roc_auc_gap,train_mae,test_mae,mae_gap,train_rmse,test_rmse,rmse_gap,train_r2,test_r2,r2_gap
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,407,279,0.6363636363636364,0.6363636363636364,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,,,,,,,,,
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,407,279,0.918918918918919,0.9115479115479116,0.0073710073710073765,0.9247104247104247,0.916023166023166,0.008687258687258725,0.8945686900958466,0.8846153846153846,0.009953305480462027,0.9786340394448503,0.9726077428780131,0.006026296566837175,,,,,,,,,
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,407,279,0.9901719901719902,0.9484029484029484,0.04176904176904184,0.9893822393822393,0.9493243243243243,0.040057915057915006,0.9864864864864865,0.9306930693069307,0.05579341717955577,0.9995825941771889,0.9923301680058437,0.007252426171345139,,,,,,,,,
classification,all_successful_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,407,279,0.9926289926289926,0.9606879606879607,0.03194103194103193,0.9927606177606177,0.9618725868725868,0.030888030888030937,0.98989898989899,0.9470198675496688,0.04287912234932112,0.9996086820411145,0.9899170405927163,0.00969164144839818,,,,,,,,,
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,407,279,0.6363636363636364,0.6363636363636364,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,,,,,,,,,
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,407,279,0.9213759213759214,0.9164619164619164,0.004914004914004955,0.9295366795366795,0.9242277992277992,0.005308880308880326,0.8987341772151899,0.8924050632911392,0.006329113924050667,0.9768861525618283,0.9717468433684651,0.005139309193363251,,,,,,,,,
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,407,279,0.9778869778869779,0.9312039312039312,0.04668304668304668,0.9811776061776061,0.9401544401544402,0.04102316602316591,0.9702970297029703,0.9113924050632911,0.05890462463967916,0.99107795053741,0.9819602420953772,0.009117708442032746,,,,,,,,,
classification,all_successful_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,407,279,0.9754299754299754,0.9533169533169533,0.02211302211302213,0.9777992277992278,0.9531853281853282,0.024613899613899592,0.9668874172185431,0.9368770764119602,0.030010340806582936,0.9867734529896691,0.9796775540018784,0.0070958989877907275,,,,,,,,,
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,225,160,0.6577777777777778,0.6577777777777778,0.0,0.5,0.5,0.0,0.7935656836461126,0.7935656836461126,0.0,0.5,0.5,0.0,,,,,,,,,
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,random_forest_classifier,225,160,0.9644444444444444,0.9022222222222223,0.06222222222222218,0.9573973323973324,0.8727184977184977,0.08467883467883464,0.9731543624161074,0.9285714285714286,0.04458293384467882,0.9974991224991225,0.9048789048789049,0.09262021762021766,,,,,,,,,
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,gradient_boosting_classifier,225,160,0.9955555555555555,0.9022222222222223,0.09333333333333327,0.9935064935064934,0.8758336258336259,0.11767286767286755,0.9966329966329966,0.9281045751633987,0.06852842146959792,1.0,0.9348016848016848,0.0651983151983152,,,,,,,,,
classification,positive_bound_runs,with_fof_linking_length,bound_mass_fraction_ge_0_1,logistic_regression,225,160,0.9111111111111111,0.8977777777777778,0.013333333333333308,0.9012811512811513,0.888030888030888,0.013250263250263239,0.9324324324324325,0.9220338983050848,0.010398534127347703,0.9756054756054756,0.9251491751491752,0.05045630045630045,,,,,,,,,
classification,positive_bound_runs,without_fof_linking_length,bound_mass_fraction_ge_0_1,dummy_most_frequent,225,160,0.6577777777777778,0.6577777777777778,0.0,0.5,0.5,0.0,0.7935656836461126,0.7935656836461126,0.0,0.5,0.5,0.0,,,,,,,,,
