task,dataset,feature_set,target,model,group_column,group_value,count,mean_residual,mean_absolute_error,underprediction_rate
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,1.1,11,-4.9367996673009464e+16,4.9367996673009464e+16,0.0
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,1.2,74,-4.440593746042246e+16,1.1436052613048547e+17,0.25675675675675674
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,1.3,11,-3.563292500726003e+16,3.638943243159553e+16,0.09090909090909091
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,1.4,18,4.511964123195517e+16,1.1848268689636624e+17,0.16666666666666666
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,1.5,12,-3.6782028124830376e+16,5.933805968950477e+16,0.5833333333333334
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,1.6,66,3.605673192478494e+16,1.8567019447857376e+17,0.4090909090909091
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,1.7,12,6.2399281371857384e+16,1.615939792622121e+17,0.5833333333333334
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,1.8,3,1.7475754856727984e+17,1.8770878875355338e+17,0.3333333333333333
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,1.9,3,-7.678699270647938e+16,7.678699270647938e+16,0.0
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,2.0,12,-4.594320650273123e+16,6.2344419211171576e+16,0.16666666666666666
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,2.2,1,-2862985066522656.0,2862985066522656.0,0.0
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,2.4,1,-2.4012943841850016e+16,2.4012943841850016e+16,0.0
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,dummy_mean,periapsis_Rm,2.6,1,1.0060273617376477e+18,1.0060273617376477e+18,1.0
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,periapsis_Rm,1.1,11,-5424683303040810.0,8274348885446012.0,0.18181818181818182
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,periapsis_Rm,1.2,74,259524199565766.06,5.616806785570143e+16,0.527027027027027
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,periapsis_Rm,1.3,11,-4957009372024860.0,1.7036671967897656e+16,0.18181818181818182
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,periapsis_Rm,1.4,18,-1.4929698532139176e+16,2.883960670706092e+16,0.6111111111111112
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,periapsis_Rm,1.5,12,1.4762390944635608e+16,1.7643346215581976e+16,0.75
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,periapsis_Rm,1.6,66,1.754084128967249e+16,1.2133411674986106e+17,0.36363636363636365
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,periapsis_Rm,1.7,12,-1.4190660834239918e+17,1.4371201419277586e+17,0.08333333333333333
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,periapsis_Rm,1.8,3,1.4469549434329674e+17,1.5209120723234173e+17,0.6666666666666666
regression,all_successful_runs,with_fof_linking_length,average_bound_fragment_mass_kg,gradient_boosting_regressor,periapsis_Rm,1.9,3,-1.373733306403808e+16,1.373733306403808e+16,0.0
