dataset,feature_set,target,model,importance_type,rank,feature,importance
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,1,num__periapsis_Rm,0.4210203767765668
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,2,num__spin_period_hr,0.2683406810374667
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,3,cat__spin_axis_y,0.1708210737256187
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,4,cat__spin_axis_x,0.1057745099440295
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,5,cat__spin_axis_z,0.022126021498382584
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,6,cat__spin_axis_mz,0.0077662651569905235
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,7,num__v_inf_kms,0.003861861846666274
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,8,cat__spin_axis_none,0.00014989511424926937
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,9,num__has_explicit_spin,0.0001393149000295322
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,10,num__fof_linking_length,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,11,num__timestep,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,12,num__particle_log10,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,13,num__mass_log10_kg,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,1,spin_axis,310.63154169866885
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,2,periapsis_Rm,185.82387150097463
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,3,spin_period_hr,101.85467190454804
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,4,v_inf_kms,21.666027197536415
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,5,fof_linking_length,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,6,timestep,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,7,particle_log10,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,8,mass_log10_kg,0.0
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,9,has_explicit_spin,-0.5662966192324632
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,1,num__spin_period_hr,0.31305324249192035
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,2,num__periapsis_Rm,0.24676846210762496
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,3,cat__spin_axis_y,0.235906223722707
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,4,cat__spin_axis_x,0.10282808847066477
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,5,num__v_inf_kms,0.04851743031761373
