comparison,feature_set,target,model,top5_overlap_count,top5_jaccard,dataset
full_vs_clean,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,4,0.6666666666666666,
full_vs_clean,with_fof_linking_length,fragment_count_min_particles,random_forest,2,0.25,
full_vs_clean,with_fof_linking_length,fragment_count_min_particles,ridge,3,0.42857142857142855,
full_vs_clean,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,3,0.42857142857142855,
full_vs_clean,with_fof_linking_length,largest_fragment_mass_kg,random_forest,3,0.42857142857142855,
full_vs_clean,with_fof_linking_length,largest_fragment_mass_kg,ridge,3,0.42857142857142855,
full_vs_clean,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,2,0.25,
full_vs_clean,with_fof_linking_length,largest_fragment_particle_count,random_forest,2,0.25,
full_vs_clean,with_fof_linking_length,largest_fragment_particle_count,ridge,3,0.42857142857142855,
full_vs_clean,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,3,0.42857142857142855,
full_vs_clean,without_fof_linking_length,fragment_count_min_particles,random_forest,3,0.42857142857142855,
full_vs_clean,without_fof_linking_length,fragment_count_min_particles,ridge,4,0.6666666666666666,
full_vs_clean,without_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,3,0.42857142857142855,
full_vs_clean,without_fof_linking_length,largest_fragment_mass_kg,random_forest,4,0.6666666666666666,
full_vs_clean,without_fof_linking_length,largest_fragment_mass_kg,ridge,4,0.6666666666666666,
full_vs_clean,without_fof_linking_length,largest_fragment_particle_count,gradient_boosting,3,0.42857142857142855,
full_vs_clean,without_fof_linking_length,largest_fragment_particle_count,random_forest,4,0.6666666666666666,
full_vs_clean,without_fof_linking_length,largest_fragment_particle_count,ridge,4,0.6666666666666666,
with_vs_without_fof_linking,,fragment_count_min_particles,gradient_boosting,4,0.6666666666666666,clean_subset
with_vs_without_fof_linking,,fragment_count_min_particles,random_forest,5,1.0,clean_subset
with_vs_without_fof_linking,,fragment_count_min_particles,ridge,5,1.0,clean_subset
with_vs_without_fof_linking,,largest_fragment_mass_kg,gradient_boosting,4,0.6666666666666666,clean_subset
with_vs_without_fof_linking,,largest_fragment_mass_kg,random_forest,5,1.0,clean_subset
with_vs_without_fof_linking,,largest_fragment_mass_kg,ridge,3,0.42857142857142855,clean_subset
with_vs_without_fof_linking,,largest_fragment_particle_count,gradient_boosting,5,1.0,clean_subset
with_vs_without_fof_linking,,largest_fragment_particle_count,random_forest,5,1.0,clean_subset
with_vs_without_fof_linking,,largest_fragment_particle_count,ridge,4,0.6666666666666666,clean_subset
with_vs_without_fof_linking,,fragment_count_min_particles,gradient_boosting,4,0.6666666666666666,full
with_vs_without_fof_linking,,fragment_count_min_particles,random_forest,4,0.6666666666666666,full
with_vs_without_fof_linking,,fragment_count_min_particles,ridge,3,0.42857142857142855,full
with_vs_without_fof_linking,,largest_fragment_mass_kg,gradient_boosting,4,0.6666666666666666,full
with_vs_without_fof_linking,,largest_fragment_mass_kg,random_forest,4,0.6666666666666666,full
with_vs_without_fof_linking,,largest_fragment_mass_kg,ridge,4,0.6666666666666666,full
with_vs_without_fof_linking,,largest_fragment_particle_count,gradient_boosting,4,0.6666666666666666,full
with_vs_without_fof_linking,,largest_fragment_particle_count,random_forest,3,0.42857142857142855,full
with_vs_without_fof_linking,,largest_fragment_particle_count,ridge,3,0.42857142857142855,full
