dataset,feature_set,target,model,train_mae,test_mae,mae_gap,train_rmse,test_rmse,rmse_gap,train_r2,test_r2,r2_gap
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,344.544536271809,377.26559714795013,32.72106087614111,723.3849945370692,810.2945834009648,86.90958886389558,0.0,-0.00025233202539132193,0.00025233202539132193
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,79.93478003196982,127.39546799592488,47.46068796395505,156.7626317000339,289.94819182578976,133.18556012575587,0.9530380523715153,0.8719249569515712,0.08111309541994405
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,132.62376356822188,143.59446969343293,10.970706125211052,355.32811599701085,469.6960703168213,114.36795431981045,0.7587206496402701,0.6639084803064497,0.09481216933382042
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,301.4620304310419,302.3533917022538,0.8913612712119061,575.026768052652,634.0626157872405,59.035847734588515,0.3681163292032572,0.38752552081189684,-0.01940919160863963
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,dummy_mean,2.8583721732890333e+19,2.601121273930692e+19,-2.572508993583411e+18,3.3815854511700476e+19,3.314108280736584e+19,-6.74771704334635e+17,0.0,-0.040993056019209106,0.040993056019209106
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,2.2877901383511055e+18,8.25296606804032e+18,5.965175929689215e+18,3.1593317705503867e+18,1.3920053896798988e+19,1.0760722126248602e+19,0.9912712965901206,0.8163477394308182,0.1749235571593024
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,3.5635023068531113e+18,8.287750609223169e+18,4.724248302370058e+18,6.833674001379473e+18,1.3479432245864847e+19,6.645758244485374e+18,0.9591616881246912,0.8277902861999511,0.13137140192474006
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,1.559327537643665e+19,1.6749000165293373e+19,1.1557247888567235e+18,1.8671769140612657e+19,1.96532811660808e+19,9.815120254681416e+17,0.6951191086288968,0.6339127703466252,0.06120633828227162
clean_subset,with_fof_linking_length,largest_fragment_particle_count,dummy_mean,910096.395661157,827109.3663101604,-82987.0293509966,1076847.3075739439,1055122.9870888405,-21724.32048510341,0.0,-0.04149223805908453,0.04149223805908453
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,72602.45959615172,271886.5300144354,199284.0704182837,104706.80785994446,448994.5221076926,344287.71424774814,0.9905454342519252,0.8114042276796553,0.17914120657226995
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,112043.809223251,261654.61441964968,149610.8051963987,214789.07365780495,426186.8278321874,211397.75417438245,0.9602152973126354,0.8300778815800043,0.13013741573263116
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,497169.0225797411,534024.0797065382,36855.05712679715,594381.4459573257,626186.9438009254,31805.497843599645,0.695335231483347,0.6331758798692197,0.06215935161412722
clean_subset,without_fof_linking_length,fragment_count_min_particles,dummy_mean,344.544536271809,377.26559714795013,32.72106087614111,723.3849945370692,810.2945834009648,86.90958886389558,0.0,-0.00025233202539132193,0.00025233202539132193
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,79.93478003196982,127.39546799592485,47.460687963955024,156.76263170003392,289.94819182578976,133.18556012575584,0.9530380523715153,0.8719249569515712,0.08111309541994405
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,132.3109340227673,144.00047599595396,11.689541973186664,355.0806044467872,471.10108019112675,116.02047574433954,0.7590566693579472,0.6618947603650169,0.09716190899293031
clean_subset,without_fof_linking_length,fragment_count_min_particles,ridge,301.4620304310419,302.35339170225376,0.8913612712118493,575.026768052652,634.0626157872405,59.035847734588515,0.3681163292032572,0.38752552081189684,-0.01940919160863963
clean_subset,without_fof_linking_length,largest_fragment_mass_kg,dummy_mean,2.8583721732890333e+19,2.601121273930692e+19,-2.572508993583411e+18,3.3815854511700476e+19,3.314108280736584e+19,-6.74771704334635e+17,0.0,-0.040993056019209106,0.040993056019209106
clean_subset,without_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,2.287790138351106e+18,8.254951316202414e+18,5.967161177851308e+18,3.1593317705503867e+18,1.399442130915724e+19,1.0835089538606854e+19,0.9912712965901206,0.8143801857837525,0.1768911108063681
clean_subset,without_fof_linking_length,largest_fragment_mass_kg,random_forest,3.5656766009464305e+18,8.264496780924493e+18,4.698820179978062e+18,6.823615455442392e+18,1.345326746738104e+19,6.629652011938647e+18,0.9592818202014971,0.8284581861269696,0.13082363407452746
clean_subset,without_fof_linking_length,largest_fragment_mass_kg,ridge,1.559327537643665e+19,1.6749000165293373e+19,1.1557247888567235e+18,1.8671769140612657e+19,1.9653281166080795e+19,9.815120254681375e+17,0.6951191086288969,0.6339127703466254,0.06120633828227151
clean_subset,without_fof_linking_length,largest_fragment_particle_count,dummy_mean,910096.395661157,827109.3663101604,-82987.0293509966,1076847.3075739439,1055122.9870888405,-21724.32048510341,0.0,-0.04149223805908453,0.04149223805908453
clean_subset,without_fof_linking_length,largest_fragment_particle_count,gradient_boosting,72602.4595961517,271756.2536008814,199153.79400472966,104706.80785994443,448845.72175361816,344138.91389367374,0.9905454342519252,0.8115292112424674,0.17901622300945785
clean_subset,without_fof_linking_length,largest_fragment_particle_count,random_forest,111908.66854407827,261170.67073034061,149262.00218626234,214175.17533354688,425870.98752776615,211695.81219421927,0.9604423932125158,0.8303296414362927,0.13011275177622306
clean_subset,without_fof_linking_length,largest_fragment_particle_count,ridge,497169.0225797411,534024.0797065382,36855.05712679715,594381.4459573257,626186.9438009254,31805.497843599645,0.695335231483347,0.6331758798692197,0.06215935161412722
full,with_fof_linking_length,fragment_count_min_particles,dummy_mean,433.14969159019114,338.6975311863876,-94.45216040380353,934.1447748244873,548.7311588343385,-385.41361599014874,0.0,-0.03188249801306564,0.03188249801306564
full,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,121.75675548006738,145.65791759662494,23.901162116557558,294.14996077395523,313.67534059720566,19.525379823250432,0.9008462344925788,0.6628122723525471,0.2380339621400317
full,with_fof_linking_length,fragment_count_min_particles,random_forest,96.13991694721872,131.5205873191434,35.38067037192468,272.0969130424666,277.2701063571621,5.173193314695482,0.9151564461395306,0.7365385357928225,0.17861791034670815
full,with_fof_linking_length,fragment_count_min_particles,ridge,423.3740466790979,311.8796055186729,-111.49444116042497,825.6209040920479,479.9766790570031,-345.6442250350448,0.2188526153395418,0.2105015600559561,0.008351055283585707
full,with_fof_linking_length,largest_fragment_mass_kg,dummy_mean,2.7047395391241884e+19,2.9237782108706853e+19,2.1903867174649692e+18,4.387332152943435e+19,3.6043937927287603e+19,-7.829383602146746e+18,0.0,-0.0077215132131107644,0.0077215132131107644
