dataset,feature_set,target,model,group_feature,group_value,count,mean_residual,median_residual,mae_within_group
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,1.2,8,-141.79924242424244,-137.42424242424244,141.79924242424244
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,1.4,3,-159.42424242424244,-179.42424242424244,159.42424242424244
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,1.6,10,572.5757575757577,-70.42424242424244,753.8848484848484
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,1.7,1,-231.42424242424244,-231.42424242424244,231.42424242424244
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,1.8,2,-360.92424242424244,-360.92424242424244,360.92424242424244
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,1.9,2,-242.42424242424244,-242.42424242424244,242.42424242424244
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,2.0,2,-292.42424242424244,-292.42424242424244,292.42424242424244
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,2.2,1,-343.42424242424244,-343.42424242424244,343.42424242424244
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,2.4,2,-175.42424242424244,-175.42424242424244,175.42424242424244
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,2.6,1,-254.42424242424244,-254.42424242424244,254.42424242424244
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,periapsis_Rm,3.0,2,-351.92424242424244,-351.92424242424244,351.92424242424244
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,1.2,8,79.12898678919076,47.84605246573635,111.22492539248431
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,1.4,3,-20.44589431547318,-31.228810791813828,30.96112891317665
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,1.6,10,152.29977783527283,14.657683603523992,210.90653332632638
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,1.7,1,-40.96835570482219,-40.96835570482219,40.96835570482219
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,1.8,2,-24.339089092804805,-24.339089092804805,49.34515666356598
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,1.9,2,-67.8070835453256,-67.8070835453256,67.8070835453256
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,2.0,2,42.59517401730079,42.59517401730079,160.8824222235208
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,2.2,1,-74.3886561460157,-74.3886561460157,74.3886561460157
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,2.4,2,140.5541197834085,140.5541197834085,140.5541197834085
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,2.6,1,145.52110116750129,145.52110116750129,145.52110116750129
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,periapsis_Rm,3.0,2,50.28056138477392,50.28056138477392,70.82105563439845
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,periapsis_Rm,1.2,8,1.398424813612305,1.992463985088932,15.79366191678685
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,periapsis_Rm,1.4,3,-21.618283108866574,-38.036251202501205,32.93019741061403
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,periapsis_Rm,1.6,10,300.02252316017325,21.12784391534386,344.6250041125542
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,periapsis_Rm,1.7,1,0.2341216931218355,0.2341216931218355,0.2341216931218355
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,periapsis_Rm,1.8,2,-64.1970111832612,-64.1970111832612,64.1970111832612
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,periapsis_Rm,1.9,2,-56.1705615079365,-56.1705615079365,71.39608796296295
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,periapsis_Rm,2.0,2,-261.67784788359785,-261.67784788359785,261.67784788359785
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,periapsis_Rm,2.2,1,-74.6699113756614,-74.6699113756614,74.6699113756614
