physical_file,row_index,fold_index
Ma_xp_A1800_n60_r12_v00_90000.hdf5,0,2
Ma_xp_A1800_n60_r12_v00_90000.hdf5,1,2
Ma_xp_A1800_n60_r12_v00_90000.hdf5,2,2
Ma_xp_A1800_n60_r12_v00_90000.hdf5,3,2
Ma_xp_A1800_n60_r12_v00_90000.hdf5,4,2
Ma_xp_A1800_n60_r16_v00_90000.hdf5,5,4
Ma_xp_A1800_n60_r16_v00_90000.hdf5,6,4
Ma_xp_A1800_n60_r16_v00_90000.hdf5,7,4
Ma_xp_A1800_n60_r16_v00_90000.hdf5,8,4
Ma_xp_A1800_n60_r16_v00_90000.hdf5,9,4
Ma_xp_A1850_n60_r12_v00_90000.hdf5,10,4
Ma_xp_A1850_n60_r12_v00_90000.hdf5,11,4
Ma_xp_A1850_n60_r12_v00_90000.hdf5,12,4
Ma_xp_A1850_n60_r12_v00_90000.hdf5,13,4
Ma_xp_A1850_n60_r16_v00_90000.hdf5,14,3
Ma_xp_A1850_n60_r16_v00_90000.hdf5,15,3
Ma_xp_A1850_n60_r16_v00_90000.hdf5,16,3
Ma_xp_A1850_n60_r16_v00_90000.hdf5,17,3
Ma_xp_A1900_n50_r12_v00_90000.hdf5,18,3
Ma_xp_A1900_n50_r16_v00_90000.hdf5,19,2
Ma_xp_A1900_n55_r12_v00_90000.hdf5,20,1
Ma_xp_A1900_n55_r16_v00_90000.hdf5,21,0
Ma_xp_A1900_n60_r12_v00_90000.hdf5,22,4
Ma_xp_A1900_n60_r16_v00_90000.hdf5,23,3
Ma_xp_A1900_n65_r12_v00_90000.hdf5,24,2
Ma_xp_A1900_n65_r12_v00_90000.hdf5,25,2
Ma_xp_A1900_n65_r12_v02_90000.hdf5,26,2
Ma_xp_A1900_n65_r12_v04_90000.hdf5,27,1
Ma_xp_A1900_n65_r12_v08_90000.hdf5,28,0
Ma_xp_A1900_n65_r12_v10_90000.hdf5,29,4
Ma_xp_A1900_n65_r13_v00_90000.hdf5,30,3
Ma_xp_A1900_n65_r14_v00_90000.hdf5,31,2
Ma_xp_A1900_n65_r14_v02_90000.hdf5,32,0
Ma_xp_A1900_n65_r14_v06_90000.hdf5,33,1
Ma_xp_A1900_n65_r15_v00_90000.hdf5,34,4
Ma_xp_A1900_n65_r16_v00_90000.hdf5,35,0
Ma_xp_A1900_n65_r16_v00_90000.hdf5,36,0
Ma_xp_A1900_n65_r16_v02_90000.hdf5,37,3
Ma_xp_A1900_n65_r16_v04_90000.hdf5,38,2
Ma_xp_A1900_n65_r17_v00_90000.hdf5,39,1
Ma_xp_A1900_n65_r18_v00_90000.hdf5,40,0
Ma_xp_A1900_n65_r18_v02_90000.hdf5,41,4
Ma_xp_A1900_n65_r18_v04_90000.hdf5,42,3
Ma_xp_A1900_n65_r19_v00_90000.hdf5,43,2
Ma_xp_A1900_n65_r20_v06_90000.hdf5,44,1
Ma_xp_A1900_n65_r26_v00_90000.hdf5,45,0
Ma_xp_A1900_n70_r12_v00_90000.hdf5,46,4
Ma_xp_A1900_s030x_n65_r12_v00_90000.hdf5,47,3
Ma_xp_A1900_s030z_n65_r12_v00_90000.hdf5,48,2
Ma_xp_A1900_s030z_n65_r12_v04_90000.hdf5,49,0
Ma_xp_A1900_s030z_n65_r12_v06_90000.hdf5,50,1
Ma_xp_A1900_s030z_n65_r12_v08_90000.hdf5,51,2
Ma_xp_A1900_s030z_n65_r12_v20_90000.hdf5,52,3
Ma_xp_A1900_s030z_n65_r13_v00_90000.hdf5,53,0
Ma_xp_A1900_s030z_n65_r15_v00_90000.hdf5,54,4
Ma_xp_A1900_s030z_n65_r16_v00_90000.hdf5,55,3
Ma_xp_A1900_s030z_n65_r16_v02_90000.hdf5,56,2
Ma_xp_A1900_s030z_n65_r16_v04_90000.hdf5,57,1
Ma_xp_A1900_s030z_n65_r17_v00_90000.hdf5,58,0
Ma_xp_A1900_s030z_n65_r19_v00_90000.hdf5,59,4
Ma_xp_A1900_s030z_n65_r20_v00_90000.hdf5,60,3
Ma_xp_A1900_s030z_n65_r20_v02_90000.hdf5,61,2
Ma_xp_A1900_s030z_n65_r20_v04_90000.hdf5,62,1
Ma_xp_A1900_s030z_n65_r22_v00_90000.hdf5,63,0
Ma_xp_A1900_s035x_n65_r12_v00_90000.hdf5,64,4
Ma_xp_A1900_s035y_n65_r12_v00_90000.hdf5,65,3
Ma_xp_A1900_s035z_n65_r12_v00_90000.hdf5,66,2
Ma_xp_A1900_s035z_n65_r16_v00_90000.hdf5,67,1
Ma_xp_A1900_s035z_n65_r20_v00_90000.hdf5,68,0
Ma_xp_A1900_s047x_n65_r12_v00_90000.hdf5,69,4
Ma_xp_A1900_s047y_n65_r12_v00_90000.hdf5,70,3
Ma_xp_A1900_s047z_n65_r11_v00_90000.hdf5,71,2
Ma_xp_A1900_s047z_n65_r12_v00_90000.hdf5,72,1
Ma_xp_A1900_s047z_n65_r12_v04_90000.hdf5,73,0
Ma_xp_A1900_s047z_n65_r12_v06_90000.hdf5,74,4
Ma_xp_A1900_s047z_n65_r12_v08_90000.hdf5,75,3
Ma_xp_A1900_s047z_n65_r12_v15_90000.hdf5,76,2
Ma_xp_A1900_s047z_n65_r12_v20_90000.hdf5,77,1
Ma_xp_A1900_s047z_n65_r14_v00_90000.hdf5,78,0
Ma_xp_A1900_s047z_n65_r15_v00_90000.hdf5,79,4
Ma_xp_A1900_s047z_n65_r16_v00_90000.hdf5,80,1
Ma_xp_A1900_s047z_n65_r16_v04_90000.hdf5,81,0
Ma_xp_A1900_s047z_n65_r16_v06_90000.hdf5,82,0
Ma_xp_A1900_s047z_n65_r17_v00_90000.hdf5,83,3
Ma_xp_A1900_s047z_n65_r20_v00_90000.hdf5,84,1
Ma_xp_A1900_s047z_n65_r20_v02_90000.hdf5,85,0
Ma_xp_A1900_s047z_n65_r20_v04_90000.hdf5,86,4
Ma_xp_A1900_s047z_n65_r20_v06_90000.hdf5,87,3
Ma_xp_A1900_s047z_n65_r22_v00_90000.hdf5,88,2
Ma_xp_A1900_s047z_n65_r24_v00_90000.hdf5,89,1
Ma_xp_A1900_s086mz_n65_r12_v00_90000.hdf5,90,0
Ma_xp_A1900_s086x_n65_r12_v00_90000.hdf5,91,4
Ma_xp_A1900_s086z_n65_r12_v00_90000.hdf5,92,3
Ma_xp_A1900_s086z_n65_r16_v00_90000.hdf5,93,2
Ma_xp_A1900_s170mz_n65_r12_v00_90000.hdf5,94,1
Ma_xp_A1900_s170x_n65_r12_v00_90000.hdf5,95,0
Ma_xp_A1900_s170y_n65_r12_v00_90000.hdf5,96,2
Ma_xp_A1900_s170z_n65_r12_v00_90000.hdf5,97,3
Ma_xp_A1900_s170z_n65_r16_v00_90000.hdf5,98,0
Ma_xp_A1950_n65_r12_v00_90000.hdf5,99,3
Ma_xp_A1950_n65_r12_v00_90000.hdf5,100,3
Ma_xp_A1950_n65_r12_v00_90000.hdf5,101,3
Ma_xp_A1950_n65_r12_v00_90000.hdf5,102,3
Ma_xp_A1950_n65_r12_v00_90000.hdf5,103,3
Ma_xp_A1950_n65_r16_v00_90000.hdf5,104,2
Ma_xp_A1950_n65_r16_v00_90000.hdf5,105,2
Ma_xp_A1950_n65_r16_v00_90000.hdf5,106,2
Ma_xp_A1950_n65_r16_v00_90000.hdf5,107,2
Ma_xp_A1950_n65_r16_v00_90000.hdf5,108,2
Ma_xp_A2000_n50_r12_v00_90000.hdf5,109,3
Ma_xp_A2000_n50_r14_v00_90000.hdf5,110,4
Ma_xp_A2000_n50_r16_v00_90000.hdf5,111,1
Ma_xp_A2000_n55_r12_v00_90000.hdf5,112,2
Ma_xp_A2000_n55_r14_v00_90000.hdf5,113,4
Ma_xp_A2000_n55_r16_v00_90000.hdf5,114,3
Ma_xp_A2000_n60_r12_v00_90000.hdf5,115,1
Ma_xp_A2000_n60_r14_v00_90000.hdf5,116,2
Ma_xp_A2000_n60_r16_v00_90000.hdf5,117,3
Ma_xp_A2000_n65_r11_v00_90000.hdf5,118,1
Ma_xp_A2000_n65_r11_v00_90000.hdf5,119,1
Ma_xp_A2000_n65_r11_v00_90000.hdf5,120,1
Ma_xp_A2000_n65_r11_v00_90000.hdf5,121,1
Ma_xp_A2000_n65_r11_v00_90000.hdf5,122,1
Ma_xp_A2000_n65_r11_v00_90000.hdf5,123,1
Ma_xp_A2000_n65_r11_v00_90000.hdf5,124,1
Ma_xp_A2000_n65_r11_v00_90000.hdf5,125,1
Ma_xp_A2000_n65_r11_v00_90000.hdf5,126,1
Ma_xp_A2000_n65_r12_v00_90000.hdf5,127,0
Ma_xp_A2000_n65_r12_v00_90000.hdf5,128,0
Ma_xp_A2000_n65_r12_v00_90000.hdf5,129,0
Ma_xp_A2000_n65_r12_v00_90000.hdf5,130,0
Ma_xp_A2000_n65_r12_v00_90000.hdf5,131,0
Ma_xp_A2000_n65_r12_v00_90000.hdf5,132,0
Ma_xp_A2000_n65_r12_v00_90000.hdf5,133,0
Ma_xp_A2000_n65_r12_v00_90000.hdf5,134,0
Ma_xp_A2000_n65_r12_v00_90000.hdf5,135,0
Ma_xp_A2000_n65_r12_v02_90000.hdf5,136,2
Ma_xp_A2000_n65_r12_v04_90000.hdf5,137,4
Ma_xp_A2000_n65_r12_v06_90000.hdf5,138,4
Ma_xp_A2000_n65_r12_v08_90000.hdf5,139,3
Ma_xp_A2000_n65_r12_v10_90000.hdf5,140,2
Ma_xp_A2000_n65_r12_v12_90000.hdf5,141,1
Ma_xp_A2000_n65_r12_v14_90000.hdf5,142,0
Ma_xp_A2000_n65_r12_v16_90000.hdf5,143,4
