target,model,feature,importance_mean,importance_std
bound_mass_fraction,random_forest,periapsis_Rm,0.8926643952152571,0.04269556653947406
bound_mass_fraction,random_forest,mass_log10_kg,0.8357096865515665,0.04177146076789203
bound_mass_fraction,random_forest,v_inf_kms,0.5469847239355998,0.04058507807974545
bound_mass_fraction,random_forest,spin_axis,0.36988500687963005,0.03370941410647952
bound_mass_fraction,random_forest,fof_linking_length,0.13859032433355672,0.02661234024590549
bound_mass_fraction,random_forest,spin_period_hr,0.045851409402238544,0.00752010696759808
bound_mass_fraction,random_forest,particle_log10,0.00668542230346233,0.000947455041761821
bound_mass_fraction,random_forest,special_case_code,0.0006517564910838325,0.0001380374511299113
bound_mass_fraction,random_forest,has_explicit_spin,0.0006047365407461647,0.00010870906017394918
bound_mass_fraction,random_forest,timestep,0.0,0.0
n_fragments,random_forest,mass_log10_kg,3.4322547891516613,0.24025715773460485
n_fragments,random_forest,fof_linking_length,3.3496356800718123,0.25130446026163583
n_fragments,random_forest,spin_axis,0.392805761975538,0.04569644345520714
n_fragments,random_forest,periapsis_Rm,0.3669066083685558,0.06756459048390162
n_fragments,random_forest,spin_period_hr,0.12270460154678069,0.023346110608570076
n_fragments,random_forest,particle_log10,0.00560543437954879,0.0005836432109697911
n_fragments,random_forest,v_inf_kms,0.0022202929472913357,0.00135135750388222
n_fragments,random_forest,has_explicit_spin,0.0002037770880414791,6.41759243648696e-05
n_fragments,random_forest,special_case_code,0.00015199797661393787,1.5568231073124438e-05
n_fragments,random_forest,timestep,0.0,0.0
largest_fragment_mass_kg,random_forest,periapsis_Rm,0.7640826098238586,0.07882577203999214
largest_fragment_mass_kg,random_forest,mass_log10_kg,0.7449723778565251,0.08928491523915572
largest_fragment_mass_kg,random_forest,fof_linking_length,0.3244611145364957,0.0318655694926236
largest_fragment_mass_kg,random_forest,spin_axis,0.2402302131838002,0.024516052388266315
largest_fragment_mass_kg,random_forest,spin_period_hr,0.05285689414614181,0.007957018363917314
largest_fragment_mass_kg,random_forest,special_case_code,0.017911859365146554,0.0035989421478606217
largest_fragment_mass_kg,random_forest,v_inf_kms,0.005338410293555906,0.0005225602816893363
largest_fragment_mass_kg,random_forest,particle_log10,0.004896258028149481,0.00046612250203049684
largest_fragment_mass_kg,random_forest,has_explicit_spin,0.00045343415044658554,8.494515633606483e-05
largest_fragment_mass_kg,random_forest,timestep,0.0,0.0
