parameter,display_name,anchor_case,x_value,actual_bmf,oof_predicted_bmf,abs_error,domain_type,plot_path
mass,Mass,"peri=1.2, v_inf=0.0, spin=none, axis=none, n=65, FoF=0.0020",19.0,0.0,0.012264107022383295,0.012264107022383295,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/mass_interpolation_profile.png
mass,Mass,"peri=1.2, v_inf=0.0, spin=none, axis=none, n=65, FoF=0.0020",19.5,0.0913295640798362,0.011748179121517727,0.07958138495831847,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/mass_interpolation_profile.png
mass,Mass,"peri=1.2, v_inf=0.0, spin=none, axis=none, n=65, FoF=0.0020",20.0,0.2355118998968633,0.19982547920883142,0.03568642068803188,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/mass_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",1.1,0.2739524985005524,0.28064573965450573,0.006693241153953311,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",1.2,0.2756593115388199,0.2680288820453587,0.0076304294934612105,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",1.3,0.2675599442971066,0.27569585980906863,0.008135915511962022,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",1.4,0.2412991929719162,0.2681727639148212,0.02687357094290499,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",1.5,0.2558061724432767,0.25723215649696207,0.0014259840536853807,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",1.6,0.2527113500577126,0.24388294620697193,0.008828403850740685,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",1.7,0.2524814346520673,0.21448917106426632,0.03799226358780097,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",1.8,0.2423031684979305,0.1596789186548766,0.08262424984305389,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",1.9,0.2339157570353769,0.14859000305119557,0.08532575398418132,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",2.0,0.2208863988542271,0.13894308091514287,0.08194331793908421,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",2.2,0.2081105675721543,0.0909485647352414,0.11716200283691289,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",2.4,0.1428207889185384,0.1390560364931924,0.0037647524253459907,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
periapsis,Periapsis,"mass=20.0, v_inf=0.0, spin=3.0 hr, axis=z, n=65, FoF=0.0040",2.6,0.0728945541852342,0.0634869503097678,0.009407603875466408,observed,ml/physics_structured_surrogate/plots/interpolation_profiles/periapsis_interpolation_profile.png
