dataset,feature_set,target,model,train_rows,test_rows,mae,rmse,r2,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,mae_gap,rmse_gap,r2_gap
clean_subset,with_fof_linking_length,fragment_count_min_particles,gradient_boosting,132,34,127.39546799592488,289.94819182578976,0.8719249569515712,79.93478003196982,156.7626317000339,0.9530380523715153,127.39546799592488,289.94819182578976,0.8719249569515712,47.46068796395505,133.18556012575587,0.08111309541994405
clean_subset,with_fof_linking_length,fragment_count_min_particles,random_forest,132,34,143.59446969343293,469.6960703168213,0.6639084803064497,132.62376356822188,355.32811599701085,0.7587206496402701,143.59446969343293,469.6960703168213,0.6639084803064497,10.970706125211052,114.36795431981045,0.09481216933382042
clean_subset,with_fof_linking_length,fragment_count_min_particles,ridge,132,34,302.3533917022538,634.0626157872405,0.38752552081189684,301.4620304310419,575.026768052652,0.3681163292032572,302.3533917022538,634.0626157872405,0.38752552081189684,0.8913612712119061,59.035847734588515,-0.01940919160863963
clean_subset,with_fof_linking_length,fragment_count_min_particles,dummy_mean,132,34,377.26559714795013,810.2945834009648,-0.00025233202539132193,344.544536271809,723.3849945370692,0.0,377.26559714795013,810.2945834009648,-0.00025233202539132193,32.72106087614111,86.90958886389558,0.00025233202539132193
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,132,34,8.25296606804032e+18,1.3920053896798988e+19,0.8163477394308182,2.2877901383511055e+18,3.1593317705503867e+18,0.9912712965901206,8.25296606804032e+18,1.3920053896798988e+19,0.8163477394308182,5.965175929689215e+18,1.0760722126248602e+19,0.1749235571593024
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,random_forest,132,34,8.287750609223169e+18,1.3479432245864847e+19,0.8277902861999511,3.5635023068531113e+18,6.833674001379473e+18,0.9591616881246912,8.287750609223169e+18,1.3479432245864847e+19,0.8277902861999511,4.724248302370058e+18,6.645758244485374e+18,0.13137140192474006
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,132,34,1.6749000165293373e+19,1.96532811660808e+19,0.6339127703466252,1.559327537643665e+19,1.8671769140612657e+19,0.6951191086288968,1.6749000165293373e+19,1.96532811660808e+19,0.6339127703466252,1.1557247888567235e+18,9.815120254681416e+17,0.06120633828227162
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,dummy_mean,132,34,2.601121273930692e+19,3.314108280736584e+19,-0.040993056019209106,2.8583721732890333e+19,3.3815854511700476e+19,0.0,2.601121273930692e+19,3.314108280736584e+19,-0.040993056019209106,-2.572508993583411e+18,-6.74771704334635e+17,0.040993056019209106
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,132,34,261654.61441964968,426186.8278321874,0.8300778815800043,112043.809223251,214789.07365780495,0.9602152973126354,261654.61441964968,426186.8278321874,0.8300778815800043,149610.8051963987,211397.75417438245,0.13013741573263116
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,132,34,271886.5300144354,448994.5221076926,0.8114042276796553,72602.45959615172,104706.80785994446,0.9905454342519252,271886.5300144354,448994.5221076926,0.8114042276796553,199284.0704182837,344287.71424774814,0.17914120657226995
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,132,34,534024.0797065382,626186.9438009254,0.6331758798692197,497169.0225797411,594381.4459573257,0.695335231483347,534024.0797065382,626186.9438009254,0.6331758798692197,36855.05712679715,31805.497843599645,0.06215935161412722
clean_subset,with_fof_linking_length,largest_fragment_particle_count,dummy_mean,132,34,827109.3663101604,1055122.9870888405,-0.04149223805908453,910096.395661157,1076847.3075739439,0.0,827109.3663101604,1055122.9870888405,-0.04149223805908453,-82987.0293509966,-21724.32048510341,0.04149223805908453
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,132,34,127.39546799592485,289.94819182578976,0.8719249569515712,79.93478003196982,156.76263170003392,0.9530380523715153,127.39546799592485,289.94819182578976,0.8719249569515712,47.460687963955024,133.18556012575584,0.08111309541994405
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,132,34,144.00047599595396,471.10108019112675,0.6618947603650169,132.3109340227673,355.0806044467872,0.7590566693579472,144.00047599595396,471.10108019112675,0.6618947603650169,11.689541973186664,116.02047574433954,0.09716190899293031
clean_subset,without_fof_linking_length,fragment_count_min_particles,ridge,132,34,302.35339170225376,634.0626157872405,0.38752552081189684,301.4620304310419,575.026768052652,0.3681163292032572,302.35339170225376,634.0626157872405,0.38752552081189684,0.8913612712118493,59.035847734588515,-0.01940919160863963
