row_index,physical_file,fold_index
0,Ma_xp_A1800_n60_r12_v00_90000.hdf5,2
1,Ma_xp_A1800_n60_r12_v00_90000.hdf5,2
2,Ma_xp_A1800_n60_r12_v00_90000.hdf5,2
3,Ma_xp_A1800_n60_r12_v00_90000.hdf5,2
4,Ma_xp_A1800_n60_r12_v00_90000.hdf5,2
5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,4
6,Ma_xp_A1800_n60_r16_v00_90000.hdf5,4
7,Ma_xp_A1800_n60_r16_v00_90000.hdf5,4
8,Ma_xp_A1800_n60_r16_v00_90000.hdf5,4
9,Ma_xp_A1800_n60_r16_v00_90000.hdf5,4
10,Ma_xp_A1850_n60_r12_v00_90000.hdf5,4
11,Ma_xp_A1850_n60_r12_v00_90000.hdf5,4
12,Ma_xp_A1850_n60_r12_v00_90000.hdf5,4
13,Ma_xp_A1850_n60_r12_v00_90000.hdf5,4
14,Ma_xp_A1850_n60_r16_v00_90000.hdf5,3
15,Ma_xp_A1850_n60_r16_v00_90000.hdf5,3
16,Ma_xp_A1850_n60_r16_v00_90000.hdf5,3
17,Ma_xp_A1850_n60_r16_v00_90000.hdf5,3
18,Ma_xp_A1900_n50_r12_v00_90000.hdf5,1
19,Ma_xp_A1900_n50_r16_v00_90000.hdf5,0
20,Ma_xp_A1900_n55_r12_v00_90000.hdf5,4
21,Ma_xp_A1900_n55_r16_v00_90000.hdf5,3
22,Ma_xp_A1900_n60_r12_v00_90000.hdf5,2
23,Ma_xp_A1900_n60_r16_v00_90000.hdf5,1
24,Ma_xp_A1900_n65_r12_v00_90000.hdf5,0
25,Ma_xp_A1900_n65_r12_v00_90000.hdf5,0
26,Ma_xp_A1900_n65_r12_v02_90000.hdf5,0
27,Ma_xp_A1900_n65_r12_v04_90000.hdf5,4
28,Ma_xp_A1900_n65_r12_v08_90000.hdf5,3
29,Ma_xp_A1900_n65_r12_v10_90000.hdf5,2
30,Ma_xp_A1900_n65_r13_v00_90000.hdf5,1
31,Ma_xp_A1900_n65_r14_v00_90000.hdf5,0
32,Ma_xp_A1900_n65_r14_v02_90000.hdf5,4
33,Ma_xp_A1900_n65_r14_v06_90000.hdf5,3
34,Ma_xp_A1900_n65_r15_v00_90000.hdf5,2
35,Ma_xp_A1900_n65_r16_v00_90000.hdf5,2
36,Ma_xp_A1900_n65_r16_v00_90000.hdf5,2
37,Ma_xp_A1900_n65_r16_v02_90000.hdf5,1
38,Ma_xp_A1900_n65_r16_v04_90000.hdf5,0
39,Ma_xp_A1900_n65_r17_v00_90000.hdf5,4
40,Ma_xp_A1900_n65_r18_v00_90000.hdf5,3
41,Ma_xp_A1900_n65_r18_v02_90000.hdf5,2
42,Ma_xp_A1900_n65_r18_v04_90000.hdf5,1
43,Ma_xp_A1900_n65_r19_v00_90000.hdf5,0
44,Ma_xp_A1900_n65_r20_v06_90000.hdf5,4
45,Ma_xp_A1900_n65_r26_v00_90000.hdf5,3
46,Ma_xp_A1900_n70_r12_v00_90000.hdf5,2
47,Ma_xp_A1900_s030x_n65_r12_v00_90000.hdf5,1
48,Ma_xp_A1900_s030z_n65_r12_v00_90000.hdf5,0
49,Ma_xp_A1900_s030z_n65_r12_v04_90000.hdf5,4
50,Ma_xp_A1900_s030z_n65_r12_v06_90000.hdf5,3
51,Ma_xp_A1900_s030z_n65_r12_v08_90000.hdf5,2
52,Ma_xp_A1900_s030z_n65_r12_v20_90000.hdf5,1
53,Ma_xp_A1900_s030z_n65_r13_v00_90000.hdf5,0
54,Ma_xp_A1900_s030z_n65_r15_v00_90000.hdf5,4
55,Ma_xp_A1900_s030z_n65_r16_v00_90000.hdf5,3
56,Ma_xp_A1900_s030z_n65_r16_v02_90000.hdf5,2
57,Ma_xp_A1900_s030z_n65_r16_v04_90000.hdf5,1
58,Ma_xp_A1900_s030z_n65_r17_v00_90000.hdf5,0
59,Ma_xp_A1900_s030z_n65_r19_v00_90000.hdf5,4
60,Ma_xp_A1900_s030z_n65_r20_v00_90000.hdf5,3
61,Ma_xp_A1900_s030z_n65_r20_v02_90000.hdf5,2
62,Ma_xp_A1900_s030z_n65_r20_v04_90000.hdf5,1
63,Ma_xp_A1900_s030z_n65_r22_v00_90000.hdf5,0
64,Ma_xp_A1900_s035x_n65_r12_v00_90000.hdf5,4
65,Ma_xp_A1900_s035y_n65_r12_v00_90000.hdf5,3
66,Ma_xp_A1900_s035z_n65_r12_v00_90000.hdf5,2
67,Ma_xp_A1900_s035z_n65_r16_v00_90000.hdf5,1
68,Ma_xp_A1900_s035z_n65_r20_v00_90000.hdf5,0
69,Ma_xp_A1900_s047x_n65_r12_v00_90000.hdf5,4
70,Ma_xp_A1900_s047y_n65_r12_v00_90000.hdf5,3
71,Ma_xp_A1900_s047z_n65_r11_v00_90000.hdf5,2
72,Ma_xp_A1900_s047z_n65_r12_v00_90000.hdf5,1
73,Ma_xp_A1900_s047z_n65_r12_v04_90000.hdf5,0
74,Ma_xp_A1900_s047z_n65_r12_v06_90000.hdf5,4
75,Ma_xp_A1900_s047z_n65_r12_v08_90000.hdf5,3
76,Ma_xp_A1900_s047z_n65_r12_v15_90000.hdf5,2
77,Ma_xp_A1900_s047z_n65_r12_v20_90000.hdf5,1
78,Ma_xp_A1900_s047z_n65_r14_v00_90000.hdf5,0
79,Ma_xp_A1900_s047z_n65_r15_v00_90000.hdf5,4
80,Ma_xp_A1900_s047z_n65_r16_v00_90000.hdf5,3
81,Ma_xp_A1900_s047z_n65_r16_v04_90000.hdf5,2
82,Ma_xp_A1900_s047z_n65_r16_v06_90000.hdf5,1
83,Ma_xp_A1900_s047z_n65_r17_v00_90000.hdf5,0
84,Ma_xp_A1900_s047z_n65_r20_v00_90000.hdf5,4
85,Ma_xp_A1900_s047z_n65_r20_v02_90000.hdf5,3
86,Ma_xp_A1900_s047z_n65_r20_v04_90000.hdf5,2
87,Ma_xp_A1900_s047z_n65_r20_v06_90000.hdf5,1
88,Ma_xp_A1900_s047z_n65_r22_v00_90000.hdf5,0
89,Ma_xp_A1900_s047z_n65_r24_v00_90000.hdf5,4
90,Ma_xp_A1900_s086mz_n65_r12_v00_90000.hdf5,3
91,Ma_xp_A1900_s086x_n65_r12_v00_90000.hdf5,2
92,Ma_xp_A1900_s086z_n65_r12_v00_90000.hdf5,1
93,Ma_xp_A1900_s086z_n65_r16_v00_90000.hdf5,0
94,Ma_xp_A1900_s170mz_n65_r12_v00_90000.hdf5,4
95,Ma_xp_A1900_s170x_n65_r12_v00_90000.hdf5,3
96,Ma_xp_A1900_s170y_n65_r12_v00_90000.hdf5,2
97,Ma_xp_A1900_s170z_n65_r12_v00_90000.hdf5,1
98,Ma_xp_A1900_s170z_n65_r16_v00_90000.hdf5,0
99,Ma_xp_A1950_n65_r12_v00_90000.hdf5,3
100,Ma_xp_A1950_n65_r12_v00_90000.hdf5,3
101,Ma_xp_A1950_n65_r12_v00_90000.hdf5,3
102,Ma_xp_A1950_n65_r12_v00_90000.hdf5,3
103,Ma_xp_A1950_n65_r12_v00_90000.hdf5,3
104,Ma_xp_A1950_n65_r16_v00_90000.hdf5,2
105,Ma_xp_A1950_n65_r16_v00_90000.hdf5,2
106,Ma_xp_A1950_n65_r16_v00_90000.hdf5,2
107,Ma_xp_A1950_n65_r16_v00_90000.hdf5,2
108,Ma_xp_A1950_n65_r16_v00_90000.hdf5,2
109,Ma_xp_A2000_n50_r12_v00_90000.hdf5,4
110,Ma_xp_A2000_n50_r14_v00_90000.hdf5,3
111,Ma_xp_A2000_n50_r16_v00_90000.hdf5,2
112,Ma_xp_A2000_n55_r12_v00_90000.hdf5,1
113,Ma_xp_A2000_n55_r14_v00_90000.hdf5,0
114,Ma_xp_A2000_n55_r16_v00_90000.hdf5,4
115,Ma_xp_A2000_n60_r12_v00_90000.hdf5,3
116,Ma_xp_A2000_n60_r14_v00_90000.hdf5,2
117,Ma_xp_A2000_n60_r16_v00_90000.hdf5,1
118,Ma_xp_A2000_n65_r11_v00_90000.hdf5,1
