slice_dimension,slice_value,fixed_mass_log10_kg,fixed_periapsis_Rm,fixed_v_inf_kms,fixed_spin_period_hr,fixed_spin_axis,predicted_bmf,predicted_bmf_percent,positive_probability,positive_only_estimate,observed_mean_bmf,observed_mean_bmf_percent,observed_min_bmf,observed_max_bmf,nearby_support_count,unsupported_flag
periapsis,1.1,20.0,1.1,0.0,3.0,z,0.27456547498983075,27.456547498983074,0.9996538076151401,0.2746605603842571,0.2739524985005524,27.395249850055244,0.2739524985005524,0.2739524985005524,1,0
periapsis,1.2,20.0,1.2,0.0,3.0,z,0.27362026875365875,27.362026875365874,0.9997195608938437,0.27369702410245567,0.2756593115388199,27.56593115388199,0.2756593115388199,0.2756593115388199,1,0
periapsis,1.3,20.0,1.3,0.0,3.0,z,0.26839757178835244,26.839757178835242,0.9997438570503542,0.2684663375479326,0.2675599442971066,26.75599442971066,0.2675599442971066,0.2675599442971066,1,0
periapsis,1.4,20.0,1.4,0.0,3.0,z,0.250973690295213,25.0973690295213,0.999793403661428,0.2510255512549903,0.2412991929719162,24.12991929719162,0.2412991929719162,0.2412991929719162,1,0
periapsis,1.5,20.0,1.5,0.0,3.0,z,0.2542348834610007,25.423488346100072,0.9997596339547912,0.2542960075866567,0.2558061724432767,25.58061724432767,0.2558061724432767,0.2558061724432767,1,0
periapsis,1.6,20.0,1.6,0.0,3.0,z,0.2445197864663473,24.451978646634732,0.9996850449973284,0.24459682345953349,0.2527113500577126,25.27113500577126,0.2527113500577126,0.2527113500577126,1,0
periapsis,1.7,20.0,1.7,0.0,3.0,z,0.245265697750626,24.5265697750626,0.9997874872606833,0.24531783091487697,0.2524814346520673,25.24814346520673,0.2524814346520673,0.2524814346520673,1,0
periapsis,1.8,20.0,1.8,0.0,3.0,z,0.24053036218274765,24.053036218274766,0.9971188347162158,0.24122537235113367,0.2423031684979305,24.23031684979305,0.2423031684979305,0.2423031684979305,1,0
periapsis,1.9,20.0,1.9,0.0,3.0,z,0.23435777261083715,23.435777261083715,0.9960990302121638,0.23527557552276723,0.2339157570353769,23.39157570353769,0.2339157570353769,0.2339157570353769,1,0
periapsis,2.0,20.0,2.0,0.0,3.0,z,0.21608296986162442,21.608296986162443,0.9818432934948321,0.2200788774474241,0.2208863988542271,22.088639885422708,0.2208863988542271,0.2208863988542271,1,0
periapsis,2.2,20.0,2.2,0.0,3.0,z,0.18624754571176805,18.624754571176805,0.9260300314773777,0.20112473611102097,0.2081105675721543,20.81105675721543,0.2081105675721543,0.2081105675721543,1,0
periapsis,2.4,20.0,2.4,0.0,3.0,z,0.13491471909553732,13.49147190955373,0.9297941903575274,0.1451017015320987,0.1428207889185384,14.282078891853839,0.1428207889185384,0.1428207889185384,1,0
periapsis,2.6,20.0,2.6,0.0,3.0,z,0.07136453636083082,7.136453636083082,0.9108576548390679,0.07834872549151452,0.0728945541852342,7.289455418523421,0.0728945541852342,0.0728945541852342,1,0
