mass_log10_kg,periapsis_Rm,v_inf_kms,spin_axis,has_explicit_spin,nearby_run_count,local_grouped_mae,local_grouped_rmse,mean_predicted_bmf,mean_actual_bmf,benchmark_disagreement_mean,sparse_region_flag,local_grouped_mae_percentage_points,benchmark_disagreement_percentage_points,sparse_threshold
18.0,1.2,0.0,none,False,1,0.0003051034036443062,0.00033440384010061607,0.0003051034036443062,0.0,0.0009416959037376887,True,0.03051034036443062,0.09416959037376887,2.0
18.0,1.6,0.0,none,False,1,4.796387437984526e-05,6.976235365513175e-05,4.796387437984526e-05,0.0,4.792985424302643e-05,True,0.004796387437984526,0.004792985424302643,2.0
18.5,1.2,0.0,none,False,1,0.0011262786130893795,0.0013975774606898458,0.0011262786130893795,0.0,0.0010852214385552452,True,0.11262786130893795,0.10852214385552453,2.0
18.5,1.6,0.0,none,False,1,5.1879271935751114e-06,6.250020892002873e-06,5.1879271935751114e-06,0.0,1.6539411235393227e-05,True,0.0005187927193575112,0.0016539411235393228,2.0
19.0,1.1,0.0,z,True,1,0.022512267846351394,0.022512267846351394,0.037202914878138,0.0597151827244894,0.0035055755789013057,True,2.2512267846351395,0.35055755789013054,2.0
19.0,1.2,0.0,mz,True,2,0.0010286567568124662,0.0014547403365109124,0.0010286567568124662,0.0,0.0021507638969458665,True,0.10286567568124662,0.21507638969458664,2.0
19.0,1.2,0.0,none,False,5,0.009266885499345847,0.012279588387328443,0.00523923944508047,0.005085604206599117,0.004716563591990718,False,0.9266885499345847,0.4716563591990718,2.0
19.0,1.2,0.0,x,True,5,0.00849045678765296,0.009831244368259268,0.017880687662769103,0.00939023087511614,0.008041384876905177,False,0.849045678765296,0.8041384876905178,2.0
19.0,1.2,0.0,y,True,3,0.014654165750611509,0.015477124586388917,0.03042629859465401,0.0157721328440425,0.0231821646475308,False,1.465416575061151,2.31821646475308,2.0
19.0,1.2,0.0,z,True,5,0.023733608612252047,0.02453925200859113,0.027675612470924295,0.05140922108317634,0.018376876991953624,False,2.373360861225205,1.8376876991953623,2.0
19.0,1.2,0.2,none,False,1,0.0013511966449780259,0.0013511966449780259,0.001390655171340033,3.9458526362007095e-05,0.004157983694815194,True,0.13511966449780258,0.4157983694815194,2.0
19.0,1.2,0.4,none,False,1,0.0021794745301678665,0.0021794745301678665,0.0021794745301678665,0.0,0.00018816063184991846,True,0.21794745301678664,0.018816063184991846,2.0
19.0,1.2,0.4,z,True,2,0.04751862428978442,0.04753020783388423,0.06030054236123982,0.0127819180714554,0.016222955711956488,True,4.751862428978442,1.6222955711956488,2.0
19.0,1.2,0.6,z,True,2,0.011769013761195782,0.014176367553338752,0.011769013761195782,0.0,0.010492285673894423,True,1.1769013761195781,1.0492285673894424,2.0
19.0,1.2,0.8,none,False,1,0.0016868384156050764,0.0016868384156050764,0.0016868384156050764,0.0,0.0072971504738149305,True,0.16868384156050764,0.7297150473814931,2.0
19.0,1.2,0.8,z,True,2,0.004632916376614697,0.005161519878568504,0.004632916376614697,0.0,0.023135517845834893,True,0.4632916376614697,2.313551784583489,2.0
19.0,1.2,1.0,none,False,1,0.00012795740080232242,0.00012795740080232242,0.00012795740080232242,0.0,0.0024112153508653146,True,0.012795740080232243,0.24112153508653147,2.0
19.0,1.2,1.5,z,True,1,0.00011589300864177268,0.00011589300864177268,0.00011589300864177268,0.0,0.0001745931260609681,True,0.011589300864177268,0.01745931260609681,2.0
19.0,1.2,2.0,z,True,2,0.00017037528505845021,0.00018852467264564765,0.00017037528505845021,0.0,0.0018228393165600062,True,0.017037528505845022,0.18228393165600063,2.0
19.0,1.3,0.0,none,False,1,0.0004918959933871003,0.0004918959933871003,0.0004918959933871003,0.0,0.004300900893967084,True,0.04918959933871003,0.43009008939670845,2.0
19.0,1.3,0.0,z,True,1,0.006905426723830696,0.006905426723830696,0.06302080722764711,0.0699262339514778,0.002624789398751874,True,0.6905426723830697,0.26247893987518744,2.0
19.0,1.4,0.0,none,False,1,0.000664213524029062,0.000664213524029062,0.000664213524029062,0.0,0.0032741114008715483,True,0.0664213524029062,0.32741114008715483,2.0
19.0,1.4,0.0,z,True,1,0.0027497628124737855,0.0027497628124737855,0.04849853869474621,0.05124830150722,0.0032363475254913662,True,0.27497628124737855,0.32363475254913665,2.0
19.0,1.4,0.2,none,False,1,0.0005304017943924493,0.0005304017943924493,0.0005304017943924493,0.0,0.0002908537913474045,True,0.05304017943924493,0.02908537913474045,2.0
19.0,1.4,0.6,none,False,1,0.0012214733406731486,0.0012214733406731486,0.0012214733406731486,0.0,0.006364698062415514,True,0.12214733406731486,0.6364698062415514,2.0
