simulation_id,filename,file_path,file_size_bytes,mass_code,mass_value,special_case_code,spin_code,spin_value,spin_axis,has_explicit_spin,resolution_code,resolution_value,periapsis_code,periapsis_value,velocity_code,velocity_value,timestep,fof_linking_length,chunk_index,parttype_group,particle_count_total,n_fof_groups,fragment_count_min_particles,largest_fragment_particle_count,mass_metrics_available,mass_unit,total_particle_mass_kg,largest_fragment_mass_kg,total_fragment_mass_kg,fragment_mass_fraction,particle_count_metrics_are_proxies,excluded_group_ids,min_particles
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,0.0001,0,PartType0,1002827,0,0,0,True,kg,0,0.0,0,nan,True,"-1,2147483647",20
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,0.0013,0,PartType0,1002827,265,265,69353,True,kg,9.907059800543278e+17,6.9126724252498056e+16,9.907059800543278e+17,1.0,True,"-1,2147483647",20
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,140435651,A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,0.0014,0,PartType0,1002827,265,265,69353,True,kg,9.908983502255526e+17,6.9126724252498056e+16,9.908983502255526e+17,1.0,True,"-1,2147483647",20
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,0.0016,0,PartType0,1002827,264,264,69353,True,kg,9.912163097477622e+17,6.9126724252498056e+16,9.912163097477622e+17,1.0,True,"-1,2147483647",20
Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,140435651,A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,0.002,0,PartType0,1002827,265,265,69353,True,kg,9.908983502255526e+17,6.9126724252498056e+16,9.908983502255526e+17,1.0,True,"-1,2147483647",20
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,0.0001,0,PartType0,1002827,0,0,0,True,kg,0,0.0,0,nan,True,"-1,2147483647",20
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,0.0013,0,PartType0,1002827,88,88,278913,True,kg,9.971349396998381e+17,2.780033845824071e+17,9.971349396998381e+17,1.0,True,"-1,2147483647",20
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,140435651,A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,0.0014,0,PartType0,1002827,88,88,278913,True,kg,9.972346132906166e+17,2.780033845824071e+17,9.972346132906166e+17,1.0,True,"-1,2147483647",20
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,140435643,A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,0.0016,0,PartType0,1002827,88,88,278913,True,kg,9.973442540741564e+17,2.780033845824071e+17,9.973442540741564e+17,1.0,True,"-1,2147483647",20
Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,140435651,A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,0.002,0,PartType0,1002827,88,88,278913,True,kg,9.974967552631337e+17,2.780033845824071e+17,9.974967552631337e+17,1.0,True,"-1,2147483647",20
