sample_filename,sample_file_path,node_path,node_type,shape,dtype,attribute_name,attribute_value_preview
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells,group,,,,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells/Centres,dataset,"(884736, 3)",float64,,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells/Counts,group,,,,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells/Counts/PartType0,dataset,"(884736,)",int64,,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells/Files,group,,,,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells/Files/PartType0,dataset,"(884736,)",int32,,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells/Meta-data,group,,,dimension,[96 96 96]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells/Meta-data,group,,,nr_cells,[884736]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells/Meta-data,group,,,size,[3.53059583 3.53059583 3.53059583]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells/OffsetsInFile,group,,,,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cells/OffsetsInFile/PartType0,dataset,"(884736,)",int64,,
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,Allocators,b'TBB malloc'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,CFLAGS,"b""'-idirafter /usr/include/linux -ip -ipo -O3 -ansi-alias -xCORE-AVX512 -pthread -fno-builtin-malloc -fno-builtin-cal..."
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,Code,b'SWIFT'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,Code Version,b'0.9.0'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,Compiler Name,b'ICC'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,Compiler Version,b'19.10.20200623'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,Configuration options,"b""'--with-hydro=planetary --with-equation-of-state=planetary --with-gravity=basic --with-tbbmalloc --with-parmetis --..."
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,FFTW library version,b'3.x (details not available)'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,GSL library version,b'2.5'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,Git Branch,b'subtask_speedup'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,Git Date,b'2021-12-07 14:20:18 +0100'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,Git Revision,b'v0.9.0-860-ge329b722-dirty'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,HDF5 library version,b'1.10.6'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,MPI library,b'Non-MPI version of SWIFT'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,RandomSeed,[0]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Code,group,,,Thread barriers,b'pthread'
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Cosmological run,[0]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Critical density [internal units],[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,H [internal units],[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,H0 [internal units],[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Hubble time [internal units],[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Lookback time [internal units],[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,N_eff,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,N_nu,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,N_ur,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Omega_b,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Omega_cdm,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Omega_g,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Omega_k,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Omega_lambda,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Omega_m,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Omega_nu,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Omega_nu_0,[6.95285644e-310]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Omega_r,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Omega_ur,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Redshift,[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,Scale-factor,[1.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,T_CMB_0 [K],[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,T_CMB_0 [internal units],[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,T_nu_0 [eV],[0.]
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Cosmology,group,,,T_nu_0 [internal units],[0.]
