relative_path,filename,suffix,size_bytes,contains_fof_in_name
Ma_xp_A1800_n60_r12_v00_90000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,.hdf5,103309848,False
Ma_xp_A1800_n60_r16_v00_90000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,.hdf5,103309848,False
Ma_xp_A1850_n60_r12_v00_90000.hdf5,Ma_xp_A1850_n60_r12_v00_90000.hdf5,.hdf5,103309848,False
Ma_xp_A1850_n60_r16_v00_90000.hdf5,Ma_xp_A1850_n60_r16_v00_90000.hdf5,.hdf5,103309848,False
Ma_xp_A1900_n50_r12_v00_90000.hdf5,Ma_xp_A1900_n50_r12_v00_90000.hdf5,.hdf5,46079656,False
Ma_xp_A1900_n50_r16_v00_90000.hdf5,Ma_xp_A1900_n50_r16_v00_90000.hdf5,.hdf5,46079656,False
Ma_xp_A1900_n55_r12_v00_90000.hdf5,Ma_xp_A1900_n55_r12_v00_90000.hdf5,.hdf5,59569192,False
Ma_xp_A1900_n55_r16_v00_90000.hdf5,Ma_xp_A1900_n55_r16_v00_90000.hdf5,.hdf5,59569192,False
Ma_xp_A1900_n60_r12_v00_90000.hdf5,Ma_xp_A1900_n60_r12_v00_90000.hdf5,.hdf5,103309864,False
Ma_xp_A1900_n60_r16_v00_90000.hdf5,Ma_xp_A1900_n60_r16_v00_90000.hdf5,.hdf5,103309864,False
Ma_xp_A1900_n65_r12_v00_90000.hdf5,Ma_xp_A1900_n65_r12_v00_90000.hdf5,.hdf5,307564536,False
Ma_xp_A1900_n65_r12_v02_90000.hdf5,Ma_xp_A1900_n65_r12_v02_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r12_v04_90000.hdf5,Ma_xp_A1900_n65_r12_v04_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r12_v08_90000.hdf5,Ma_xp_A1900_n65_r12_v08_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r12_v10_90000.hdf5,Ma_xp_A1900_n65_r12_v10_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r12_v25_90000.hdf5,Ma_xp_A1900_n65_r12_v25_90000.hdf5,.hdf5,21284304,False
Ma_xp_A1900_n65_r12_v30_90000.hdf5,Ma_xp_A1900_n65_r12_v30_90000.hdf5,.hdf5,21284304,False
Ma_xp_A1900_n65_r13_v00_90000.hdf5,Ma_xp_A1900_n65_r13_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r14_v00_90000.hdf5,Ma_xp_A1900_n65_r14_v00_90000.hdf5,.hdf5,307564480,False
Ma_xp_A1900_n65_r14_v02_90000.hdf5,Ma_xp_A1900_n65_r14_v02_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r14_v06_90000.hdf5,Ma_xp_A1900_n65_r14_v06_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r15_v00_90000.hdf5,Ma_xp_A1900_n65_r15_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r16_v00_90000.hdf5,Ma_xp_A1900_n65_r16_v00_90000.hdf5,.hdf5,307564536,False
Ma_xp_A1900_n65_r16_v02_90000.hdf5,Ma_xp_A1900_n65_r16_v02_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r16_v04_90000.hdf5,Ma_xp_A1900_n65_r16_v04_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r17_v00_90000.hdf5,Ma_xp_A1900_n65_r17_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r18_v00_90000.hdf5,Ma_xp_A1900_n65_r18_v00_90000.hdf5,.hdf5,307564480,False
Ma_xp_A1900_n65_r18_v02_90000.hdf5,Ma_xp_A1900_n65_r18_v02_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r18_v04_90000.hdf5,Ma_xp_A1900_n65_r18_v04_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r19_v00_90000.hdf5,Ma_xp_A1900_n65_r19_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r20_v06_90000.hdf5,Ma_xp_A1900_n65_r20_v06_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n65_r26_v00_90000.hdf5,Ma_xp_A1900_n65_r26_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1900_n70_r12_v00_90000.hdf5,Ma_xp_A1900_n70_r12_v00_90000.hdf5,.hdf5,710217880,False
Ma_xp_A1900_s030x_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s030x_n65_r12_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s030z_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s030z_n65_r12_v00_90000.hdf5,.hdf5,307564544,False
Ma_xp_A1900_s030z_n65_r12_v04_90000.hdf5,Ma_xp_A1900_s030z_n65_r12_v04_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r12_v06_90000.hdf5,Ma_xp_A1900_s030z_n65_r12_v06_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r12_v08_90000.hdf5,Ma_xp_A1900_s030z_n65_r12_v08_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r12_v20_90000.hdf5,Ma_xp_A1900_s030z_n65_r12_v20_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r13_v00_90000.hdf5,Ma_xp_A1900_s030z_n65_r13_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r15_v00_90000.hdf5,Ma_xp_A1900_s030z_n65_r15_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r16_v00_90000.hdf5,Ma_xp_A1900_s030z_n65_r16_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s030z_n65_r16_v02_90000.hdf5,Ma_xp_A1900_s030z_n65_r16_v02_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r16_v04_90000.hdf5,Ma_xp_A1900_s030z_n65_r16_v04_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r17_v00_90000.hdf5,Ma_xp_A1900_s030z_n65_r17_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r19_v00_90000.hdf5,Ma_xp_A1900_s030z_n65_r19_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r20_v00_90000.hdf5,Ma_xp_A1900_s030z_n65_r20_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r20_v02_90000.hdf5,Ma_xp_A1900_s030z_n65_r20_v02_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r20_v04_90000.hdf5,Ma_xp_A1900_s030z_n65_r20_v04_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s030z_n65_r22_v00_90000.hdf5,Ma_xp_A1900_s030z_n65_r22_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s035x_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s035x_n65_r12_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s035y_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s035y_n65_r12_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s035z_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s035z_n65_r12_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s035z_n65_r16_v00_90000.hdf5,Ma_xp_A1900_s035z_n65_r16_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s035z_n65_r20_v00_90000.hdf5,Ma_xp_A1900_s035z_n65_r20_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047x_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s047x_n65_r12_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s047y_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s047y_n65_r12_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s047z_n65_r11_v00_90000.hdf5,Ma_xp_A1900_s047z_n65_r11_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s047z_n65_r12_v00_90000.hdf5,.hdf5,307564544,False
Ma_xp_A1900_s047z_n65_r12_v04_90000.hdf5,Ma_xp_A1900_s047z_n65_r12_v04_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r12_v06_90000.hdf5,Ma_xp_A1900_s047z_n65_r12_v06_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r12_v08_90000.hdf5,Ma_xp_A1900_s047z_n65_r12_v08_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r12_v15_90000.hdf5,Ma_xp_A1900_s047z_n65_r12_v15_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r12_v20_90000.hdf5,Ma_xp_A1900_s047z_n65_r12_v20_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r14_v00_90000.hdf5,Ma_xp_A1900_s047z_n65_r14_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r15_v00_90000.hdf5,Ma_xp_A1900_s047z_n65_r15_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r16_v00_90000.hdf5,Ma_xp_A1900_s047z_n65_r16_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s047z_n65_r16_v04_90000.hdf5,Ma_xp_A1900_s047z_n65_r16_v04_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r16_v06_90000.hdf5,Ma_xp_A1900_s047z_n65_r16_v06_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r17_v00_90000.hdf5,Ma_xp_A1900_s047z_n65_r17_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r20_v00_90000.hdf5,Ma_xp_A1900_s047z_n65_r20_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r20_v02_90000.hdf5,Ma_xp_A1900_s047z_n65_r20_v02_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r20_v04_90000.hdf5,Ma_xp_A1900_s047z_n65_r20_v04_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r20_v06_90000.hdf5,Ma_xp_A1900_s047z_n65_r20_v06_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r22_v00_90000.hdf5,Ma_xp_A1900_s047z_n65_r22_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s047z_n65_r24_v00_90000.hdf5,Ma_xp_A1900_s047z_n65_r24_v00_90000.hdf5,.hdf5,307564488,False
