fof_file,physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,n_fragments,total_fragment_mass_kg,bound_fragment_count,bound_mass_kg,bound_mass_fraction,largest_bound_fragment_mass_kg,unbound_fragment_count,unbound_mass_kg,unbound_mass_fraction,largest_unbound_fragment_mass_kg,physical_path,physical_exists,fof_filename_exists_in_source,metadata_status,metadata_conflicts,spin_orientation,spin_period_hr,periapsis_rm,v_inf_kms,v_inf_source,physical_snapshot_date,physical_output_type,physical_run_name,physical_particle_count,scenario_name
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,12:37:53 2022-05-03 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1800_n60_r12_v00_90000
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0013,265,9.907059774086918e+17,0,0.0,0.0,0.0,265,9.907059774086918e+17,1.0,6.9126856513801624e+16,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,12:37:53 2022-05-03 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1800_n60_r12_v00_90000
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0014,265,9.908983480820175e+17,0,0.0,0.0,0.0,265,9.908983480820175e+17,1.0,6.9126856513801624e+16,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,12:37:53 2022-05-03 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1800_n60_r12_v00_90000
Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.0016,264,9.912163078995867e+17,0,0.0,0.0,0.0,264,9.912163078995867e+17,1.0,6.9126856513801624e+16,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,12:37:53 2022-05-03 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1800_n60_r12_v00_90000
Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1800_n60_r12_v00_90000.hdf5,A1800,n60,r12,v00,,90000,0.002,265,9.908983480820175e+17,0,0.0,0.0,0.0,265,9.908983480820175e+17,1.0,6.9126856513801624e+16,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r12_v00_90000.hdf5,True,False,mapped,,no_spin,,1.2,0.0,physical_snapshot_filename,12:37:53 2022-05-03 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1800_n60_r12_v00_90000
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:23:16 2022-04-25 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1800_n60_r16_v00_90000
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0013,88,9.971349455086552e+17,0,0.0,0.0,0.0,88,9.971349455086552e+17,1.0,2.7800353165490752e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:23:16 2022-04-25 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1800_n60_r16_v00_90000
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0014,88,9.972346194326582e+17,0,0.0,0.0,0.0,88,9.972346194326582e+17,1.0,2.7800353165490752e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:23:16 2022-04-25 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1800_n60_r16_v00_90000
Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.0016,88,9.973442607490614e+17,0,0.0,0.0,0.0,88,9.973442607490614e+17,1.0,2.7800353165490752e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:23:16 2022-04-25 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1800_n60_r16_v00_90000
Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1800_n60_r16_v00_90000.hdf5,A1800,n60,r16,v00,,90000,0.002,88,9.974967618527858e+17,0,0.0,0.0,0.0,88,9.974967618527858e+17,1.0,2.7800353165490752e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1800_n60_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:23:16 2022-04-25 BST,FullVolume,Untitled SWIFT simulation,1002827,Ma_xp_A1800_n60_r16_v00_90000
