mass_code,spin_code,spin_orientation,spin_period_hr,resolution_code,periapsis_code,periapsis_rm,velocity_code,v_inf_kms,v_inf_source,timestep,fof_linking_length,physical_output_type,physical_snapshot_date,physical_file,scenario_name,fof_file,row_count_aggregated,physical_file_count,n_fragments,n_fragments_min,n_fragments_max,total_fragment_mass_kg,total_fragment_mass_kg_min,total_fragment_mass_kg_max,bound_fragment_count,bound_fragment_count_min,bound_fragment_count_max,bound_mass_kg,bound_mass_kg_min,bound_mass_kg_max,bound_mass_fraction,bound_mass_fraction_min,bound_mass_fraction_max,largest_bound_fragment_mass_kg,largest_bound_fragment_mass_kg_min,largest_bound_fragment_mass_kg_max,unbound_fragment_count,unbound_fragment_count_min,unbound_fragment_count_max,unbound_mass_kg,unbound_mass_kg_min,unbound_mass_kg_max,unbound_mass_fraction,unbound_mass_fraction_min,unbound_mass_fraction_max,largest_unbound_fragment_mass_kg,largest_unbound_fragment_mass_kg_min,largest_unbound_fragment_mass_kg_max
A1800,,no_spin,,n60,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.0001,FullVolume,12:37:53 2022-05-03 BST,Ma_xp_A1800_n60_r12_v00_90000.hdf5,Ma_xp_A1800_n60_r12_v00_90000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0001_0000.hdf5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1800,,no_spin,,n60,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.0013,FullVolume,12:37:53 2022-05-03 BST,Ma_xp_A1800_n60_r12_v00_90000.hdf5,Ma_xp_A1800_n60_r12_v00_90000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0013_0000.hdf5,1,1,265,265,265,9.90705977409e+17,9.90705977409e+17,9.90705977409e+17,0,0,0,0,0,0,0,0,0,0,0,0,265,265,265,9.90705977409e+17,9.90705977409e+17,9.90705977409e+17,1,1,1,6.91268565138e+16,6.91268565138e+16,6.91268565138e+16
A1800,,no_spin,,n60,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.0014,FullVolume,12:37:53 2022-05-03 BST,Ma_xp_A1800_n60_r12_v00_90000.hdf5,Ma_xp_A1800_n60_r12_v00_90000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0014_0000.hdf5,1,1,265,265,265,9.90898348082e+17,9.90898348082e+17,9.90898348082e+17,0,0,0,0,0,0,0,0,0,0,0,0,265,265,265,9.90898348082e+17,9.90898348082e+17,9.90898348082e+17,1,1,1,6.91268565138e+16,6.91268565138e+16,6.91268565138e+16
A1800,,no_spin,,n60,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.0016,FullVolume,12:37:53 2022-05-03 BST,Ma_xp_A1800_n60_r12_v00_90000.hdf5,Ma_xp_A1800_n60_r12_v00_90000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.0016_0000.hdf5,1,1,264,264,264,9.912163079e+17,9.912163079e+17,9.912163079e+17,0,0,0,0,0,0,0,0,0,0,0,0,264,264,264,9.912163079e+17,9.912163079e+17,9.912163079e+17,1,1,1,6.91268565138e+16,6.91268565138e+16,6.91268565138e+16
A1800,,no_spin,,n60,r12,1.2,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,12:37:53 2022-05-03 BST,Ma_xp_A1800_n60_r12_v00_90000.hdf5,Ma_xp_A1800_n60_r12_v00_90000,Ma_xp_A1800_n60_r12_v00_90000_fof_0.002_0000.hdf5,1,1,265,265,265,9.90898348082e+17,9.90898348082e+17,9.90898348082e+17,0,0,0,0,0,0,0,0,0,0,0,0,265,265,265,9.90898348082e+17,9.90898348082e+17,9.90898348082e+17,1,1,1,6.91268565138e+16,6.91268565138e+16,6.91268565138e+16
A1800,,no_spin,,n60,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.0001,FullVolume,04:23:16 2022-04-25 BST,Ma_xp_A1800_n60_r16_v00_90000.hdf5,Ma_xp_A1800_n60_r16_v00_90000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0001_0000.hdf5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1800,,no_spin,,n60,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.0013,FullVolume,04:23:16 2022-04-25 BST,Ma_xp_A1800_n60_r16_v00_90000.hdf5,Ma_xp_A1800_n60_r16_v00_90000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0013_0000.hdf5,1,1,88,88,88,9.97134945509e+17,9.97134945509e+17,9.97134945509e+17,0,0,0,0,0,0,0,0,0,0,0,0,88,88,88,9.97134945509e+17,9.97134945509e+17,9.97134945509e+17,1,1,1,2.78003531655e+17,2.78003531655e+17,2.78003531655e+17
A1800,,no_spin,,n60,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.0014,FullVolume,04:23:16 2022-04-25 BST,Ma_xp_A1800_n60_r16_v00_90000.hdf5,Ma_xp_A1800_n60_r16_v00_90000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0014_0000.hdf5,1,1,88,88,88,9.97234619433e+17,9.97234619433e+17,9.97234619433e+17,0,0,0,0,0,0,0,0,0,0,0,0,88,88,88,9.97234619433e+17,9.97234619433e+17,9.97234619433e+17,1,1,1,2.78003531655e+17,2.78003531655e+17,2.78003531655e+17
A1800,,no_spin,,n60,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.0016,FullVolume,04:23:16 2022-04-25 BST,Ma_xp_A1800_n60_r16_v00_90000.hdf5,Ma_xp_A1800_n60_r16_v00_90000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.0016_0000.hdf5,1,1,88,88,88,9.97344260749e+17,9.97344260749e+17,9.97344260749e+17,0,0,0,0,0,0,0,0,0,0,0,0,88,88,88,9.97344260749e+17,9.97344260749e+17,9.97344260749e+17,1,1,1,2.78003531655e+17,2.78003531655e+17,2.78003531655e+17
A1800,,no_spin,,n60,r16,1.6,v00,0.0,physical_snapshot_filename,90000,0.002,FullVolume,04:23:16 2022-04-25 BST,Ma_xp_A1800_n60_r16_v00_90000.hdf5,Ma_xp_A1800_n60_r16_v00_90000,Ma_xp_A1800_n60_r16_v00_90000_fof_0.002_0000.hdf5,1,1,88,88,88,9.97496761853e+17,9.97496761853e+17,9.97496761853e+17,0,0,0,0,0,0,0,0,0,0,0,0,88,88,88,9.97496761853e+17,9.97496761853e+17,9.97496761853e+17,1,1,1,2.78003531655e+17,2.78003531655e+17,2.78003531655e+17
